"V1" "V2" "V3" "V4" "V5" "V11" "V12" "V13" "V14" "V15" "V21" "V22" "V23" "V24" "V25" "V31" "V32" "V33" "V34" "V35"
"3638" 0 0 0 0 0 4 9 2 8 9 0 8 2 14 6 10 18 5 6 4
"3639" 30 35 30 24 62 30 51 53 34 64 6 1 4 7 3 17 1 5 6 10
"3640" 8640 6448 6776 9363 6770 8452 8379 9004 8001 8745 10077 7784 7587 4876 8909 8703 9741 8430 6312 7527
"3641" 100 105 86 116 49 18 36 46 47 27 131 84 75 82 76 56 21 53 30 56
"3642" 666 803 747 741 776 580 469 313 631 816 746 700 582 821 571 625 738 1147 498 774
"3643" 1480 1215 1091 1518 1415 1424 1459 1192 1021 1356 1065 1790 1043 1103 1040 1061 918 1328 831 1449
"3644" 282 317 325 281 484 403 369 352 288 372 454 410 300 337 410 252 285 393 286 367
"3645" 1054 844 935 1005 976 859 884 905 743 779 417 294 493 432 420 209 273 279 189 265
"3646" 15 14 39 10 12 16 29 12 26 14 44 19 85 45 31 74 70 29 43 51
"3647" 780 585 808 624 869 687 624 451 528 541 1094 979 843 895 1054 541 463 435 366 526
"3648" 277 453 277 399 572 235 197 205 188 209 198 214 224 305 336 223 266 422 305 360
"3649" 383 699 490 545 404 348 815 394 421 611 586 446 324 498 433 480 503 450 424 568
"3650" 371 669 477 623 525 784 1073 818 735 1024 651 656 588 680 600 363 228 284 299 374
"3651" 6227 6480 6676 5408 6804 3522 6935 5011 5286 5221 4910 5554 4335 4306 6245 6090 5259 8266 6293 7251
"3652" 2108 2397 2423 2848 2591 3478 2668 3062 3337 2908 2368 2006 2232 2207 1897 2250 1805 3092 1782 2571
"3653" 4169 4534 3737 3747 4428 4149 4183 4156 3071 4042 5535 4200 5235 6233 3903 4607 6015 3278 4375 4486
"3654" 808 877 1156 937 907 2282 2575 2381 2483 1818 578 1195 964 889 656 1960 1939 1986 1876 1969
"3655" 1357 1307 1438 1201 1473 1582 1064 1310 1367 1000 787 921 869 965 927 1245 945 878 1508 1163
"3656" 4252 5331 4500 4526 4466 6747 5449 5259 5120 5937 7889 8093 5878 5977 8116 8060 8761 9465 10673 8448
"3657" 6252 5481 5582 5277 6042 5379 4863 5032 5195 4748 4757 5978 5374 5954 5615 5236 5573 6091 4434 8052
"3658" 1635 2057 1719 1749 1502 1408 2663 1994 1471 2461 1363 1801 1407 1320 2175 1590 1293 1031 1389 1658
"3659" 890 1091 824 1019 835 1373 1412 1518 1543 1657 2867 3751 2775 2498 3238 2008 1808 1905 2782 1777
"3660" 5676 5496 5118 5910 6203 10223 8213 13415 10343 10020 7456 7502 9291 8730 9862 14072 9363 9569 11792 10974
"3661" 26 21 28 39 11 9 12 4 8 10 10 10 12 6 10 27 25 36 21 34
"3662" 288 293 351 196 385 369 356 137 398 283 178 134 138 263 374 239 236 243 248 313
"3663" 1493 1352 1381 1404 1238 657 802 674 844 1066 2009 2045 1727 1792 1846 1024 917 1504 1434 1474
"3664" 872 800 516 640 1106 1158 1097 985 1081 1084 461 771 295 739 404 885 855 768 844 938
"3665" 296 227 267 308 348 109 133 130 149 200 314 384 294 395 203 237 340 224 296 301
"3666" 263 402 222 169 307 96 91 186 152 225 157 213 136 202 192 79 103 132 221 123
"3667" 6973 4117 5154 5437 5342 7908 5963 7130 8381 8652 5887 4885 4673 6236 5921 4835 4925 6482 4987 5209
"3668" 42 67 67 45 54 51 74 60 60 43 51 49 165 107 92 57 55 63 13 45
"3669" 2840 2340 3129 2440 2703 3671 3424 4077 3881 5242 4711 3577 3458 4668 4926 2190 2411 3034 2717 1992
"3670" 9580 8931 8295 9867 10700 10985 11316 11634 5768 11193 9011 10937 11414 10996 11065 8121 9203 7828 8626 8773
"3671" 101 61 85 105 95 80 64 60 48 83 36 56 61 121 88 80 55 98 96 46
"3672" 16 10 49 25 15 20 34 23 23 14 70 101 21 18 21 0 0 0 0 0
"3673" 3251 2727 2551 3274 3072 3370 3780 3223 3532 2892 5079 4355 5431 4953 4300 4065 3585 3109 3472 2595
"3674" 1125 1247 1428 1196 1220 715 395 600 734 770 459 597 579 435 533 393 503 444 472 519
"3675" 5070 4973 3817 4293 4383 2322 2527 2673 2568 2298 2846 3660 3271 3725 2641 3060 2892 3516 2915 2964
"3676" 1857 1519 1473 1225 1591 1322 1201 1455 1055 1416 1310 1279 1159 1351 1332 1379 1250 1750 1272 1002
"3677" 10469 11647 9328 10070 10237 17042 11457 15781 12654 12926 11012 15489 11256 12814 15186 16708 15287 16610 17071 15000
"3678" 1808 1937 2030 1758 1884 1987 2392 2623 2494 2951 2711 2467 2326 2078 2483 1072 1273 1608 1840 1104
"3679" 1829 2143 1945 1531 1628 1068 958 1458 1106 1085 951 1148 1516 947 986 1410 1362 1737 1470 1577
"3680" 105 75 110 72 75 110 164 172 178 157 80 89 132 104 88 66 39 62 30 67
"3681" 5688 6426 5647 6501 6858 3432 3641 2738 3630 3262 3784 6504 4946 5247 4805 6505 4905 7151 7445 6042
"3682" 5822 5345 4871 5875 6432 6312 6958 5699 6504 6505 5764 6156 6693 7548 7959 5852 4283 5105 7075 5127
"3683" 2445 2028 2540 2311 2435 1175 1856 1490 1242 1412 1564 1953 1559 2160 1658 1048 1281 1339 1440 1118
"3684" 6098 5966 5385 5446 5374 6739 5858 5876 6135 6747 7807 8042 8681 6449 6228 6693 7295 9121 7429 8364
"3685" 798 784 801 568 642 1291 1048 810 862 1180 669 430 392 443 595 540 572 422 616 688
"3686" 240 272 203 286 212 177 207 144 142 125 127 130 168 109 84 212 193 134 142 218
"3687" 1232 1407 1418 1334 1168 1678 1186 949 1420 1280 1932 1203 1989 1954 1672 1330 1345 1111 1277 1086
"3688" 416 378 231 299 408 46 97 94 58 78 250 222 159 163 147 104 96 115 90 163
"3689" 141 139 141 149 89 213 104 128 87 241 45 135 68 70 41 123 125 66 51 107
"3690" 2388 2120 2080 2033 2504 2227 2224 2015 2059 2511 1503 1654 1903 1808 1733 1830 1853 1771 2087 1642
"3691" 5955 4666 6989 6722 5878 3558 3610 4424 4077 4304 5413 5666 4307 4873 5188 3577 3778 4274 3295 4881
"3692" 502 469 737 700 746 501 382 290 539 422 372 784 405 403 735 434 550 464 435 365
"3693" 1599 1211 1920 1254 1260 927 1062 1109 776 1240 760 854 1008 1150 807 2683 2003 2460 1789 1526
"3694" 1797 1639 1501 1617 2252 1241 1621 1657 1767 1862 1569 1272 1333 984 936 1700 1461 1708 1860 1840
"3695" 722 513 443 332 427 337 337 337 213 301 304 349 599 478 489 246 250 336 361 269
"3696" 1488 1235 1739 1714 1404 1424 1647 1083 1238 1265 1156 1418 1096 1046 1212 1321 1973 2737 1991 2766
"3697" 670 1154 798 1105 1322 1104 1333 1161 1381 928 899 959 678 901 1423 773 784 667 782 974
"3698" 86 22 109 106 61 2 0 7 6 8 9 21 9 2 2 0 0 0 0 0
"3699" 177 203 125 219 130 181 260 226 147 180 216 190 252 298 190 137 112 229 160 295
"3700" 436 445 489 479 547 1212 1486 1234 1182 1164 1768 1335 1452 2362 1024 954 953 692 460 757
"3701" 105 98 161 113 74 27 37 33 44 41 153 135 103 88 108 134 92 122 184 60
"3702" 317 225 159 357 239 253 99 272 262 259 187 169 184 136 125 154 186 203 194 188
"3703" 1603 1711 1571 1477 1677 1295 1532 1712 1701 1234 2130 1804 2567 1572 1844 1932 2344 2682 2662 2838
"3704" 16 39 8 20 4 0 0 0 0 0 4 8 2 10 4 4 8 10 7 20
"3705" 216 360 286 201 384 376 361 274 233 318 335 373 510 462 355 554 158 238 314 367
"3706" 2058 2053 2021 1864 2010 1907 2391 1686 1364 2390 1920 2211 1414 1917 1604 1536 1773 1486 1547 1841
"3707" 901 831 787 919 777 994 1144 1289 1169 1300 915 1026 836 1017 835 1368 1272 1388 1590 963
"3708" 370 342 390 414 503 582 394 465 533 488 794 791 705 671 573 470 663 850 701 606
"3709" 251 161 228 122 191 223 207 238 253 216 231 365 309 237 373 244 227 342 159 184
"3710" 3597 3199 2314 2974 2822 2312 2860 2464 2411 2033 3212 3865 3388 3216 3499 2180 2207 2826 2103 2756
"3711" 66 96 57 60 72 68 77 82 67 58 81 83 54 54 66 93 104 104 101 158
"3712" 1185 959 1251 1216 1253 440 276 334 395 448 1132 1124 1115 949 546 918 931 702 833 726
"3713" 2366 2119 2894 2096 1713 2068 2285 2321 2179 2068 3058 2975 2397 2171 2682 2271 2561 3099 2075 3214
"3714" 4 10 2 6 16 44 45 26 20 46 8 41 8 15 8 0 0 0 0 0
"3715" 2321 2145 2068 1668 1917 2201 2326 2479 2331 2221 3026 1929 2252 3235 2296 2641 2388 2080 2103 2916
"3716" 431 410 360 447 423 446 552 395 809 516 345 223 228 356 303 566 391 400 711 370
"3717" 155 98 191 91 191 240 237 275 220 105 40 101 116 79 119 119 123 96 139 223
"3718" 45 39 54 44 26 4 16 9 22 4 26 21 29 11 21 103 116 78 119 98
"3719" 117 96 102 57 107 95 126 78 120 105 139 198 184 210 170 17 94 34 59 109
"3720" 0 0 0 0 0 4 4 4 10 2 0 0 0 0 0 18 53 35 23 50
"3721" 5 2 0 6 5 0 0 0 0 0 26 22 26 30 33 11 32 5 13 14
"3722" 1020 1127 1574 1218 1344 1451 1403 1158 1424 1260 1023 787 1124 1085 1227 1522 1125 1588 1461 1381
"3723" 1486 1307 1206 1296 1059 1346 1264 1958 1385 1183 819 1203 1105 960 1128 826 1324 904 1172 1089
"3724" 1869 1599 1698 1844 1775 1532 698 697 932 1203 462 473 505 553 427 1748 1303 1203 1475 1278
"3725" 293 236 297 336 370 193 235 155 224 165 449 460 561 448 372 251 435 324 366 279
"3726" 430 287 470 535 522 687 701 787 545 605 584 446 927 470 736 674 1130 609 594 754
"3727" 1247 1394 985 751 994 1180 1098 897 1371 1163 1199 1192 1278 1139 1138 1199 1057 1646 1527 1214
"3728" 3739 3015 5129 4663 4436 3942 4263 4244 3616 3715 3081 3818 3500 3571 5312 3409 3519 3471 3461 3270
"3729" 69 55 103 104 186 88 78 93 65 75 61 94 54 35 7 104 11 34 42 25
"3730" 366 208 346 450 297 299 557 399 318 421 237 239 414 341 315 243 296 232 353 254
"3731" 1334 1925 2429 3072 2232 1888 1865 2061 2270 1756 1264 1364 1072 1086 1376 1760 1653 1688 1661 1766
"3732" 1007 932 907 977 853 292 654 468 335 310 434 540 328 447 437 518 300 511 354 370
"3733" 329 262 281 239 286 207 208 213 250 305 166 166 83 77 109 244 425 241 269 249
"3734" 3330 2669 3459 2887 2954 3760 3537 3195 3375 3169 3028 2810 3176 2722 3442 3088 3230 2816 3518 2885
"3735" 434 324 506 530 551 474 969 704 679 827 941 760 442 879 772 604 850 1808 847 884
"3736" 3543 3501 2759 2840 2477 1738 1521 2234 1957 1839 2527 2860 2618 2912 3202 2606 2825 2560 2390 2369
"3737" 0 0 0 0 0 0 0 0 0 0 11 27 3 13 9 0 0 0 0 0
"3738" 490 385 383 571 461 514 448 855 556 720 515 459 662 574 464 1049 1053 926 1025 952
"3739" 147 192 304 148 228 363 225 253 200 272 519 309 550 450 471 319 153 228 267 186
"3740" 36 41 13 15 17 68 41 26 67 44 16 44 26 25 12 2 11 5 10 15
"3741" 1992 1827 1959 1784 2512 4528 3764 3661 5160 4630 2244 2456 3003 2927 2969 2284 3874 4092 3485 3367
"3742" 1925 2100 1842 1883 1775 1868 2149 2752 3523 2795 2624 2894 2832 3227 2616 2582 1939 2001 2590 2259
"3743" 13 15 25 19 27 76 67 64 69 40 12 27 2 26 52 21 26 19 34 25
"3744" 20 30 22 14 19 35 21 49 13 21 65 16 46 43 68 76 72 112 63 71
"3745" 1220 1625 914 1028 851 2156 1870 1774 1473 1470 3070 2303 2636 2701 2870 1998 1968 2308 1492 2059
"3746" 621 1398 1631 2202 1253 1057 1287 1113 996 1193 866 844 752 896 959 696 894 1039 1184 799
"3747" 117 32 118 129 59 172 162 153 83 81 203 137 140 179 190 119 86 83 110 124
"3748" 6 5 25 24 19 49 27 74 81 36 24 8 12 10 22 0 0 0 0 0
"3749" 261 413 372 191 257 232 328 262 335 286 426 510 407 477 452 277 359 314 324 336
"3750" 175 217 236 164 231 162 267 226 192 174 381 310 155 326 339 201 249 296 571 215
"3751" 2023 1784 2506 2527 1908 2555 2553 2019 2846 2662 1670 1429 1872 1906 1565 2143 2362 2207 2170 2051
"3752" 840 855 942 388 796 478 487 470 493 495 678 866 1324 890 1299 808 757 671 692 635
"3753" 279 414 265 240 391 235 145 182 185 274 281 262 249 234 307 304 386 236 410 302
"3754" 194 204 277 272 253 161 117 140 200 161 174 109 95 126 128 115 120 143 165 152
"3755" 2396 1693 1732 2246 1961 2414 2721 2122 2283 2356 2659 2141 2368 2517 2373 2357 2211 2041 2029 2588
"3756" 617 499 460 502 302 921 793 790 1158 944 204 396 514 365 334 543 385 629 443 635
"3757" 16 12 11 5 4 19 38 23 31 14 43 41 46 80 31 46 81 26 41 54
"3758" 210 246 304 133 258 333 290 262 249 180 311 355 332 433 343 670 439 371 495 363
"3759" 0 0 0 0 0 47 35 43 45 37 22 31 18 6 22 61 49 44 86 51
"3760" 64 167 96 105 69 23 64 95 42 33 10 16 20 9 17 17 34 52 36 26
"3761" 485 414 680 668 440 626 673 754 902 556 563 482 598 590 705 1036 1302 1000 856 1005
"3762" 280 449 461 616 622 1098 996 1301 811 1360 1072 1025 1279 1061 923 774 641 851 693 601
"3763" 2283 2792 2737 2461 2486 4593 3864 4880 5525 4489 2754 3111 2576 2788 2912 5673 3780 3829 3985 3911
"3764" 469 565 498 378 656 336 229 470 356 339 701 596 642 657 754 1224 886 839 920 569
"3765" 6979 6129 4176 4902 4802 4034 6942 4073 3861 5473 4556 4908 4669 4452 4882 4879 5686 4815 4431 5407
"3766" 2136 1311 1809 1327 2088 1734 1564 1362 1366 1936 1738 1574 1410 1977 1280 1497 1438 1483 1186 1571
"3767" 18 29 32 27 27 122 151 80 133 113 13 35 14 25 12 1 8 4 7 1
"3768" 3116 3578 3432 4550 2972 2742 2588 2585 2224 2664 3479 3742 3538 3827 3943 2740 2488 2067 2164 2598
"3769" 4834 4829 5507 4143 4997 4353 4510 5202 5629 5762 5094 4627 4932 6298 4789 4853 7257 7028 5850 5198
"3770" 7638 8595 8822 8770 7143 6468 4363 6865 4598 7840 4662 5639 5379 6107 7230 6276 8019 8996 8622 8221
"3771" 1641 1125 1464 1300 1100 1925 2225 1646 2034 1615 1718 1396 1537 1444 1501 1736 1333 1168 1434 1260
"3772" 362 354 292 436 403 448 402 577 329 568 313 576 376 670 499 529 395 398 408 385
"3773" 2002 1989 1896 1685 1656 1061 1111 1203 893 1026 1268 1343 1267 1266 1173 1803 1887 2177 1639 1749
"3774" 4895 6099 4783 7466 6304 4818 4655 4511 4732 4270 2615 4219 3722 3515 3335 4482 5875 5223 6164 3885
"3775" 4721 3013 3901 4464 3562 3964 4686 3903 4440 6682 3969 4246 4125 4083 4339 4470 4269 4622 3777 3836
"3776" 937 955 764 869 885 1732 1532 1683 1668 1732 1514 1363 1778 1712 1259 1339 1251 1003 1216 1024
"3777" 3168 2743 3166 2775 2780 2366 2301 3223 3699 2999 3114 3158 3859 4335 3350 4333 3903 3949 3716 4068
"3778" 783 559 640 633 611 625 619 1107 817 801 775 501 967 818 1151 443 242 541 313 421
"3779" 392 500 263 275 682 453 486 362 544 384 454 303 623 520 510 479 543 358 452 553
"3780" 51 30 66 53 22 24 12 17 14 36 20 34 13 22 22 21 31 13 14 17
"3781" 1527 1808 1851 1832 2051 1968 1959 1833 1914 2197 3151 2244 1914 2460 2272 1733 1947 1969 1845 1549
"3782" 1154 1202 940 1435 1224 1081 994 1186 862 918 1021 900 742 942 933 652 450 1243 700 1124
"3783" 1230 1318 977 1519 1276 1489 865 1608 1352 1441 1690 1901 1909 1613 1730 1352 1794 1944 1901 1819
"3784" 21 8 16 15 13 0 0 0 0 0 14 4 7 10 0 3 5 1 4 0
"3785" 334 268 308 288 514 357 386 383 253 350 231 130 124 107 173 197 344 188 233 432
"3786" 433 358 449 379 477 248 382 231 330 248 280 390 449 426 484 225 244 308 283 276
"3787" 328 239 305 343 401 282 517 396 342 314 395 324 244 234 243 377 445 594 375 341
"3788" 14 13 4 24 15 10 11 18 6 14 4 5 6 7 13 0 0 0 0 0
"3789" 4263 3471 4962 3404 4094 3747 5226 4812 5109 4633 4507 4065 3993 3548 4600 5094 4554 5614 4560 3808
"3790" 533 857 496 648 640 867 885 965 864 931 512 518 591 527 427 719 374 540 577 579
"3791" 217 155 229 131 120 213 183 184 162 172 739 515 633 652 551 208 286 267 192 352
"3792" 936 539 934 594 756 452 389 596 546 449 740 1152 764 1105 1006 747 434 685 739 809
"3793" 501 669 550 472 634 742 1056 1009 965 998 750 682 751 858 717 1410 1135 1256 1671 884
"3794" 5361 7048 6791 6387 6119 6527 6698 5724 6002 5599 4811 5441 5375 4696 4482 4736 4835 4158 5140 4229
"3795" 242 277 241 443 363 206 256 217 179 144 366 340 365 385 365 644 511 623 485 546
"3796" 182 176 297 302 243 288 482 329 380 367 403 369 316 325 449 235 252 220 168 252
"3797" 9 35 38 42 34 125 28 18 48 24 57 27 29 20 40 220 92 93 112 96
"3798" 1038 1081 1339 1223 1189 888 661 534 729 1178 1462 1230 1575 1682 1402 1793 1401 1161 1272 1380
"3799" 117 199 149 61 41 248 138 242 215 147 145 178 181 128 176 210 150 58 81 49
"3800" 18 23 10 7 13 101 92 113 117 143 92 32 52 52 61 20 22 13 19 30
"3801" 203 145 209 242 139 216 240 103 141 217 95 95 86 126 101 104 106 69 159 98
"3802" 1223 1073 1215 1147 1003 928 1123 819 660 1158 917 915 1020 752 807 1347 796 1096 1041 1215
"3803" 361 254 247 262 271 190 264 362 231 244 235 225 235 243 198 165 190 216 230 240
"3804" 3637 3317 3347 2437 3740 2723 3455 3314 3152 3023 1802 2713 2470 2813 2171 4624 6250 4570 5101 5733
"3805" 129 163 146 238 212 148 286 301 278 376 194 297 256 200 314 84 120 178 103 141
"3806" 380 385 396 360 344 409 436 426 497 507 536 617 971 738 614 603 560 705 646 920
"3807" 3749 3314 3253 2498 2729 3903 4702 4199 3543 5059 3300 2992 3214 3378 4074 3595 4198 3186 3420 3071
"3808" 222 165 215 149 201 435 555 347 619 360 508 551 186 283 276 383 195 317 417 146
"3809" 462 445 524 515 559 540 570 578 684 726 649 549 640 647 522 875 759 706 855 762
"3810" 572 536 522 620 600 302 228 342 428 279 992 1021 991 768 800 502 114 452 375 267
"3811" 23 9 12 17 26 14 7 15 8 9 26 10 34 47 18 0 0 0 0 0
"3812" 1046 462 672 856 402 380 224 317 325 314 232 180 274 259 194 305 222 299 262 324
"3813" 381 385 189 418 252 384 472 650 351 550 554 442 537 413 399 611 492 498 449 395
"3814" 2595 2169 2826 2289 1934 1276 1949 1491 1519 1525 4631 4946 4662 4813 4050 2746 2619 2863 2769 2010
"3815" 0 0 0 0 0 22 21 14 7 12 1 5 6 4 0 2 6 7 3 1
"3816" 4230 4143 4700 4114 3931 3507 3595 4283 3303 3290 3820 4446 3885 3337 3681 3025 2847 2677 3177 2405
"3817" 86 70 55 76 98 61 56 54 33 145 87 107 141 79 67 234 99 128 295 71
"3818" 812 1061 1109 1248 876 1074 956 943 990 1068 1306 922 914 963 1076 1173 991 702 912 890
"3819" 728 754 691 688 604 117 229 147 74 124 195 254 360 157 217 518 388 400 507 442
"3820" 1137 1156 1015 1094 875 1252 1214 1065 1188 1261 814 777 843 1130 551 547 534 525 512 408
"3821" 2449 2275 2870 2360 2732 2161 2020 2053 1971 1950 4428 3707 3501 3218 3871 3210 4115 4855 5008 3116
"3822" 6571 6745 5622 5891 4156 7503 5287 5702 8567 5849 4838 5483 5627 4017 5073 3820 3663 5263 3900 3812
"3823" 2029 2049 1862 1922 1904 1705 2015 1708 1871 1669 1908 1715 1724 2234 2260 1304 1093 1135 1138 1117
"3824" 2104 1946 1892 1775 1589 1702 2151 910 1598 1844 1896 1074 1649 1497 1682 1053 1293 1220 1636 893
"3825" 3717 4076 3757 3811 4378 4112 3796 4401 3982 3634 3965 3831 4028 4042 2997 4969 4350 3825 5057 4083
"3826" 71 56 71 58 76 289 319 210 210 200 91 124 178 97 62 167 338 84 99 176
"3827" 0 0 0 0 0 24 22 17 16 26 10 4 6 6 8 11 10 7 6 4
"3828" 3325 3723 3482 3472 3258 3688 3878 3622 3181 3883 2971 3228 3437 3386 2961 3302 3570 4565 3274 3417
"3829" 873 819 763 1148 658 960 1076 1412 1056 1217 733 1336 1008 788 719 1016 1121 1447 1450 1564
"3830" 35 59 123 66 65 27 16 22 21 40 58 95 25 72 34 16 38 71 13 31
"3831" 0 0 0 0 0 0 0 0 0 0 4 15 6 4 11 19 28 13 29 54
"3832" 1290 1027 1222 1729 1546 783 872 1277 778 755 1077 764 908 1462 1013 1112 718 736 1118 911
"3833" 2693 3824 2400 3010 4233 3712 4264 4294 4167 3550 3109 2642 3174 2409 2710 2149 3286 2089 2012 3505
"3834" 2184 1837 2070 2245 1860 3125 3479 2945 3833 3360 3033 3573 2827 2905 3549 3418 3728 3356 2983 2458
"3835" 8186 7577 6562 8066 7794 8594 9455 8315 7986 7941 10144 8917 8834 9112 9903 6928 8581 9233 8525 9461
"3836" 12 23 14 24 32 10 18 11 7 27 72 27 26 45 18 60 64 52 104 47
"3837" 1208 962 1164 1417 1081 1082 663 1194 760 1009 1318 1066 1390 1109 1344 741 670 798 587 822
"3838" 6643 6621 4125 6538 6252 7161 5955 6331 5011 6495 9490 6541 8146 9843 8446 7583 5901 7213 6195 4625
"3839" 315 421 370 568 331 694 392 668 414 434 641 671 746 457 579 421 306 410 371 374
"3840" 126 87 229 154 266 28 60 54 37 61 192 78 208 107 91 108 88 190 87 111
"3841" 4 2 5 10 4 5 0 0 6 5 6 3 2 1 4 0 0 0 0 0
"3842" 93 108 87 78 98 22 20 16 27 31 33 62 37 29 55 100 77 60 111 86
"3843" 866 665 864 766 682 1160 831 908 961 702 1168 959 930 975 1089 755 664 917 951 855
"3844" 477 725 980 717 580 503 428 404 369 557 709 538 658 567 574 865 574 1020 1010 537
"3845" 1006 795 1014 455 785 995 894 791 1064 835 940 1175 961 449 512 594 712 999 789 586
"3846" 5179 6448 4039 4724 4933 3879 3855 2735 3059 2863 5504 5849 4965 6284 4503 3150 2819 2997 2708 3040
"3847" 167 140 180 121 182 245 248 231 492 208 83 103 91 142 146 155 83 123 250 152
"3848" 28 14 64 32 12 185 166 203 302 121 131 167 72 102 166 158 195 157 119 88
"3849" 2395 3177 3455 2836 2867 2354 2483 2885 2649 2612 2630 2936 2407 2727 2877 3367 3522 3055 2924 3254
"3850" 104 228 167 37 145 138 81 109 244 92 86 22 27 75 148 184 124 152 234 192
"3851" 470 780 532 452 536 648 702 795 580 575 680 530 743 864 924 432 296 341 405 373
"3852" 1402 908 1408 1478 599 2170 2141 1779 1830 2532 1600 2144 1456 1515 1603 1616 1974 1916 2523 1911
"3853" 2717 2473 2785 2845 2591 2487 2023 2458 2445 2044 1467 1814 2068 1921 1949 2346 2737 2748 2602 2425
"3854" 107 140 136 345 228 200 116 129 141 133 110 160 178 207 176 400 474 307 205 289
"3855" 27 11 55 22 22 30 49 31 29 40 30 16 5 35 34 96 104 111 63 84
"3856" 170 166 139 141 265 256 150 248 131 312 323 338 330 289 355 119 76 96 120 185
"3857" 412 309 328 383 319 644 312 837 607 623 303 383 413 295 361 671 241 381 594 324
"3858" 2290 2128 2060 1707 2143 3634 2915 2790 2308 2392 3102 2942 3660 2841 2620 2662 2095 3847 2605 3157
"3859" 85 43 140 154 114 78 79 97 113 74 257 352 355 257 195 74 166 180 172 219
"3860" 1157 1575 1524 947 1270 1434 2132 1381 2206 1244 1183 1422 1060 1588 1228 1562 1673 1430 1927 1905
"3861" 1699 1424 1720 1861 1481 1827 1984 1553 1707 1931 1376 1766 1482 1440 1726 1153 1494 1483 1079 1214
"3862" 72 86 35 41 53 98 123 86 78 82 26 76 41 44 40 26 47 37 25 60
"3863" 1807 2026 2200 2821 1871 1882 1794 2148 1815 2676 5739 4726 4475 4883 3903 2328 3728 4188 3459 4031
"3864" 144 248 206 209 139 292 172 211 331 255 67 105 53 75 55 84 101 95 84 101
"3865" 137 141 88 97 119 158 257 128 124 133 261 126 221 299 210 280 422 341 276 348
"3866" 691 405 689 444 573 322 340 365 342 322 775 617 1086 674 318 337 368 355 147 228
"3867" 1702 1661 1692 1417 1426 438 508 643 558 469 2342 1571 1002 1805 1065 824 793 847 784 713
"3868" 129 98 107 174 94 195 174 190 186 245 199 167 162 239 201 364 523 548 337 265
"3869" 216 262 194 216 223 631 463 532 455 546 1376 1441 364 1178 1170 599 678 680 774 665
"3870" 35 21 24 59 21 12 39 23 46 52 120 230 130 206 112 13 4 6 4 18
"3871" 40 18 60 74 118 48 42 41 27 29 14 21 20 65 69 32 94 25 40 36
"3872" 395 262 353 320 353 514 517 671 588 365 442 390 357 520 594 377 377 437 280 283
"3873" 15 16 10 20 7 0 0 0 0 0 3 0 2 2 10 12 13 27 8 12
"3874" 232 162 272 246 210 208 320 210 231 254 316 258 345 326 116 229 246 192 195 180
"3875" 806 629 666 560 809 968 759 1028 623 1162 946 1225 905 1032 1401 946 697 753 836 906
"3876" 837 834 973 706 745 779 1501 1154 1249 1123 750 695 877 590 680 504 651 563 632 654
"3877" 105 64 88 69 70 41 106 63 67 82 26 42 23 42 67 23 37 30 12 20
"3878" 0 0 0 0 0 8 22 4 18 28 41 25 27 32 42 40 38 18 36 26
"3879" 146 188 146 167 96 557 674 596 617 516 114 192 204 125 253 160 278 279 212 215
"3880" 28 11 41 45 14 86 77 129 83 112 199 102 84 112 142 23 27 36 9 31
"3881" 2347 3554 3104 2710 3444 2631 1797 1965 2788 2157 1656 1357 1302 1641 1518 3530 3801 3628 4170 3452
"3882" 1499 1234 1481 1503 1498 695 894 857 1015 708 1019 1271 1290 1211 720 1929 2193 1407 2193 1519
"3883" 914 877 1415 1326 957 710 689 669 434 739 1102 1355 2049 1098 1036 1094 1235 1369 1433 902
"3884" 0 0 0 0 0 5 0 5 2 3 22 7 4 19 17 0 0 0 0 0
"3885" 1461 1205 1476 1527 1714 820 1127 1096 1141 1013 981 1377 1352 1170 1518 873 1003 731 902 633
"3886" 1212 1073 1288 1124 1014 621 660 643 697 712 699 637 689 764 621 1180 982 865 858 1032
"3887" 2782 3153 3592 2232 2960 3563 4555 3427 5567 4021 3647 3665 4195 3265 3789 2706 3216 2218 3109 2323
"3888" 541 525 410 643 491 414 363 391 444 397 287 319 456 438 387 549 443 499 536 579
"3889" 210 203 241 255 255 99 32 47 64 89 119 127 139 108 82 120 40 122 135 81
"3890" 3204 4385 3557 3988 4279 4231 4391 3773 3860 4966 4107 4211 4070 3478 3535 4019 3790 4387 4067 4572
"3891" 11 60 23 60 18 27 14 8 22 20 78 37 65 95 106 39 17 57 16 45
"3892" 1283 1225 1274 1291 876 1221 1170 1217 1316 1510 1522 1606 1186 1130 1746 1412 1151 1246 1260 1260
"3893" 213 256 165 160 194 479 498 263 474 453 550 438 519 501 408 214 325 419 461 396
"3894" 3246 2709 2792 2640 2551 1827 2121 1924 2389 2254 3058 3729 4083 3238 2549 3020 2364 2581 2663 2366
"3895" 3206 2873 2900 3350 3507 3779 4367 3669 3596 4155 3388 3085 3086 3290 3830 4013 3268 3732 3407 3606
"3896" 1844 2010 2672 3176 2947 2272 1411 2371 2682 2342 1910 1847 1915 1645 2022 1788 1967 1772 2082 1921
"3897" 4238 4303 4903 5214 4274 5676 4881 5574 4839 3890 4280 6243 6629 3977 5238 5018 4345 4649 4475 4348
"3898" 54 21 41 95 42 56 21 28 27 77 9 28 12 19 28 56 24 16 29 25
