"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_581" 7273 7802 7247 7970 7452 7846 6705 8667 8273 7623 6746 7023 1292 1826 1258 1374 1383 976 2167 2358 2044 2169 2399 1954
"gene_582" 5310 4952 6596 6077 6328 4420 4807 5489 5001 5575 4921 5116 878 917 1059 1161 1076 704 1522 1901 1760 1458 1279 1989
"gene_583" 21 27 16 19 49 24 31 13 102 36 28 43 22 0 17 8 2 20 8 13 4 11 15 20
"gene_584" 470 673 452 584 632 651 515 586 387 579 655 697 178 89 138 66 69 57 167 97 131 118 164 73
"gene_585" 8509 7987 6287 8358 8414 6732 6611 10276 9159 9042 9284 9680 1227 1839 2081 1234 1755 1923 2949 3679 2665 3702 3042 3431
"gene_586" 3062 3673 3315 4046 2679 2895 3566 3079 3368 3458 2941 3362 763 325 668 532 740 740 1051 1107 915 1101 917 898
"gene_587" 0 0 0 0 0 0 19 11 7 10 17 11 0 1 2 1 4 0 1 5 3 1 5 4
"gene_588" 10 14 22 18 24 21 48 15 22 29 19 38 7 2 9 2 1 7 30 12 4 7 4 4
"gene_589" 2162 3484 2908 3301 3780 3582 2719 2450 2539 2537 2499 2397 593 301 646 479 554 177 711 850 894 847 833 753
"gene_590" 3303 3383 3259 4155 3698 3747 4204 3832 3303 3372 3515 4393 768 594 611 742 697 572 1253 1357 933 810 986 1055
"gene_591" 493 447 488 421 514 452 762 773 763 611 417 688 120 114 106 97 84 99 152 189 106 102 103 129
"gene_592" 8 7 8 0 14 4 0 0 0 0 0 0 1 5 0 2 2 1 2 3 2 0 2 1
"gene_593" 72 49 17 76 40 108 0 4 0 0 1 2 1 5 0 1 3 2 0 11 8 8 7 6
"gene_594" 579 595 464 415 471 324 894 816 915 924 1042 751 59 72 140 110 91 107 127 246 91 266 179 118
"gene_595" 3 3 4 2 3 11 20 10 11 4 8 17 1 1 0 0 2 2 0 0 1 5 7 2
"gene_596" 2541 3177 3066 2836 3106 3057 2689 3488 4251 2921 3615 2737 455 566 345 324 575 454 1201 1226 661 1462 1655 857
"gene_597" 44 49 80 107 35 29 38 67 25 97 39 46 15 11 13 10 3 4 12 11 29 16 25 18
"gene_598" 75 125 163 102 196 117 194 190 75 133 151 235 13 13 32 21 24 6 40 60 59 44 59 21
"gene_599" 130 148 216 175 319 322 127 139 133 155 204 179 19 82 26 48 54 91 79 56 85 79 85 100
"gene_600" 441 350 411 583 429 778 199 144 171 203 158 142 52 38 48 94 72 42 137 147 176 90 116 83
"gene_601" 363 376 268 178 175 163 795 901 812 865 825 826 982 839 641 748 1013 687 712 992 721 643 772 732
"gene_602" 2818 3029 3293 2830 3173 2955 8330 9423 10157 8164 8801 9564 9300 8495 8887 9031 7687 8786 9216 9405 8199 8394 10475 9028
"gene_603" 16601 17424 15030 18581 14975 15984 57539 49213 56564 57570 46154 61807 54940 49701 46975 53934 43832 50219 50866 45688 60571 54548 47854 56640
"gene_604" 203 214 213 317 181 461 681 682 742 809 641 564 890 627 547 691 926 895 624 670 584 778 883 352
"gene_605" 5045 3694 4266 3741 5454 5364 11325 13669 11347 12717 19252 13303 13076 16635 13004 16032 12921 14228 10808 12538 15356 12396 14618 18027
"gene_606" 248 211 310 306 248 258 1050 1030 1126 1066 886 916 1018 840 990 1112 1111 795 938 987 824 1279 814 808
"gene_607" 1001 882 860 1292 781 1018 1977 2596 2507 2302 2604 2102 2464 2767 2176 2722 2719 2279 2466 1992 2371 2379 3144 2842
"gene_608" 167 119 141 132 148 139 335 403 385 283 339 471 269 412 433 320 317 551 306 289 270 351 290 323
"gene_609" 947 943 861 1039 947 840 3620 3219 2558 2099 2582 1447 4035 2981 2305 2215 2979 2472 2711 2256 3024 2359 2521 3224
"gene_610" 4491 5434 5309 4615 3710 5199 12349 18303 15161 18065 15488 16119 15163 15890 14862 14285 15968 18232 17872 13931 14848 10523 17443 13390
"gene_611" 3007 2996 2568 2828 2877 3118 8298 9982 9388 7480 9615 7497 7613 6878 10395 9009 11209 9980 8981 9204 9478 8887 9292 8024
"gene_612" 4887 3820 5679 6127 4977 5481 14760 16659 16985 14682 14912 15012 16110 17022 15475 16388 15566 12366 14306 14127 18503 14844 15805 16543
"gene_613" 5961 7459 7913 6259 6924 8207 24090 24118 17739 19051 17795 17258 21593 21305 19139 24848 21165 22896 20172 22392 23759 17396 16163 17912
"gene_614" 5418 4483 6139 4038 3901 5993 10716 13764 12779 15283 14777 15518 17390 14093 13967 11416 14095 16382 13416 15044 10655 10930 12388 12887
"gene_615" 259 245 335 370 250 241 1175 751 893 834 728 781 711 947 790 771 664 1178 887 642 759 938 958 671
"gene_616" 3929 4002 3740 3937 3991 3939 9705 11851 13201 12207 15851 12765 14244 12839 12635 13133 12836 10051 11349 13491 11917 12763 11756 11079
"gene_617" 307 241 400 297 292 215 928 884 729 802 705 878 774 879 752 956 883 861 963 960 729 1057 832 1052
"gene_618" 975 1026 1103 1008 1013 1100 2687 3849 3380 3711 3161 3086 3246 2941 3353 2983 3437 3304 2920 3016 2876 3800 3500 3173
"gene_619" 5887 5307 6969 5830 5203 5748 19251 21685 17975 17938 17666 20439 23871 18749 21197 18507 23583 23614 16537 14914 19038 18337 19194 23759
"gene_620" 6430 3866 7026 4647 3879 4224 16749 15515 16512 14913 16530 13467 16387 15522 13114 14246 15299 12561 18877 17650 15758 14619 16175 15977
"gene_621" 166 178 177 220 266 173 562 571 705 697 603 608 542 546 822 520 568 463 661 639 586 599 675 659
"gene_622" 252 184 165 215 319 311 724 792 1026 1006 483 1003 965 772 856 795 1311 733 750 924 916 822 794 664
"gene_623" 2212 2386 1992 1828 1950 2173 5125 4176 4246 8635 5841 4480 4824 4684 7359 6094 9043 5888 4306 5842 5478 7343 7277 3856
"gene_624" 500 441 747 401 598 610 1715 2219 2025 2009 1935 2450 2212 2171 1453 1950 1634 1876 1764 2290 1872 1840 2158 2202
"gene_625" 106 135 129 58 80 146 274 379 483 403 236 255 298 389 209 306 486 393 394 400 258 195 319 544
"gene_626" 10267 9965 11193 10293 9831 9102 30426 27405 30190 24102 27264 34878 27124 32078 34327 28240 31467 29535 32524 29455 32228 32327 30447 26979
"gene_627" 5401 5017 6140 8091 5855 7023 17516 18260 17913 19017 19471 16215 18463 16679 17475 19192 17346 21120 17101 18899 17957 19124 17879 15327
"gene_628" 358 259 369 347 386 368 919 988 791 812 1054 814 637 1083 801 1001 657 1102 1003 966 1261 879 827 1185
"gene_629" 3794 4159 4662 3691 4179 4567 9520 14198 10755 12250 13815 11940 12083 14849 11216 12074 11900 10609 12066 12417 11638 10177 11461 12379
"gene_630" 13884 16213 16696 15797 17601 14640 56756 54884 53817 52728 51871 57340 53776 55364 50833 49893 56239 52223 51229 68163 63836 54077 57346 51875
"gene_631" 2137 2746 2383 2465 2237 2546 8002 7811 9533 6487 6424 9100 6214 7443 6316 8692 7279 7399 5961 7365 8579 8329 7240 7878
"gene_632" 6740 7499 6206 5828 5915 5204 15984 18538 15671 16306 17133 19221 17967 16329 18647 17912 17476 17763 19408 20263 20923 18230 18574 18637
"gene_633" 18 38 20 48 29 38 76 56 35 65 63 105 111 80 51 77 28 35 54 54 78 47 62 56
"gene_634" 53 26 24 36 8 31 120 69 53 152 91 72 122 175 135 85 132 85 103 123 103 82 75 96
"gene_635" 1727 1426 1616 1721 1804 1919 2995 4579 4037 5887 4096 5024 4390 4803 5304 5026 3614 4667 5696 5808 4281 4882 4499 4491
"gene_636" 11543 16597 13155 11866 17700 11135 60695 55838 54777 50293 56528 51088 53075 57943 49691 66614 54734 56641 52789 50767 52399 52811 54601 55556
"gene_637" 9035 9588 10192 9014 10830 8689 29387 28255 25711 25109 29163 35192 29846 32020 32876 28665 29994 28145 34452 32068 30718 32146 30467 30973
"gene_638" 66 69 74 71 76 35 219 314 239 275 229 246 210 200 117 224 219 259 276 173 216 201 201 256
"gene_639" 286 406 388 300 444 331 1102 1195 875 936 1251 896 1213 1161 929 854 743 690 1080 1148 978 912 1193 1024
"gene_640" 2696 3131 2770 2323 3071 2254 9893 7693 8249 9019 8327 8408 8295 7172 9136 8741 8674 9596 7690 6958 8738 7683 8279 7451
"gene_641" 1994 2237 2295 2441 1764 1373 6414 6418 5832 5754 5994 4698 6341 7297 6596 7409 5923 5418 5661 6824 6235 7008 4941 7154
"gene_642" 62 87 27 82 55 118 265 286 197 277 323 330 230 265 215 360 293 271 181 270 205 190 249 250
"gene_643" 4336 4313 4264 6287 5374 5280 14099 18115 17266 14557 16555 18128 17747 16255 18455 16373 14519 17586 17135 13969 15548 17410 15795 15875
"gene_644" 12612 14428 15016 13365 11255 17569 33643 50889 38762 34151 46146 42917 30608 29612 33294 40020 35668 46073 31015 28666 35301 30454 34782 35673
"gene_645" 1581 2477 1812 2391 1898 1909 4735 6823 5618 6310 6188 5598 6932 4737 5000 4146 7155 5044 5679 6451 5131 5911 5660 4664
"gene_646" 465 596 651 520 477 614 1606 1729 1860 1696 2064 1626 1650 1494 1941 1167 1699 1657 1542 1316 1807 1756 1968 1533
"gene_647" 5658 6494 7211 8154 6858 7434 24242 26558 30337 23495 30219 23544 16981 23641 30220 21708 19059 26386 19412 19478 22268 15874 26102 24141
"gene_648" 78 73 68 57 111 88 420 418 172 159 255 183 284 283 270 192 243 146 539 322 231 317 90 270
"gene_649" 566 438 607 273 332 390 1690 1601 2067 1391 1953 1649 1273 1096 1560 1937 2457 1627 1084 1982 1733 1894 1330 1654
"gene_650" 777 804 992 638 701 601 2328 2358 2320 2211 2721 2671 2487 3049 2144 2355 2652 2198 2575 2753 2188 2141 2180 2501
"gene_651" 992 1345 942 1027 1614 1407 3682 2687 3406 3811 3508 3617 9727 10356 10236 10920 8610 10439 11415 11307 9429 12131 10038 10432
"gene_652" 684 1016 584 700 889 961 2020 2032 2560 2380 2439 2254 5423 5457 8551 6589 7584 6611 7111 6511 6743 5745 8225 7344
"gene_653" 55 130 101 109 108 62 106 202 81 64 97 147 340 541 348 410 525 578 322 332 340 468 490 555
"gene_654" 0 0 0 0 0 0 8 11 2 19 13 4 39 11 23 29 23 33 41 35 27 16 74 21
"gene_655" 414 248 347 356 381 432 506 690 419 569 944 596 1597 1529 1823 1733 1480 1579 1447 1520 1710 1907 1714 1392
"gene_656" 110 96 76 83 129 137 251 168 195 250 122 122 292 491 613 570 631 806 431 438 478 924 420 417
"gene_657" 2742 3036 2573 2255 2841 2542 6587 5404 7499 6505 8559 7596 18160 17667 23866 20323 23784 19573 20815 17933 22252 19991 23030 21234
"gene_658" 97 78 104 169 62 49 353 349 248 288 264 321 1158 812 983 904 802 887 997 839 933 708 915 1042
"gene_659" 34 16 16 39 22 28 108 140 126 114 63 92 294 235 311 618 255 212 290 395 356 395 576 339
"gene_660" 425 493 315 397 314 412 1213 1410 1082 933 1146 1111 3241 3222 4137 3440 3520 3930 3685 3123 3902 3505 2883 3648
"gene_661" 493 653 534 613 858 602 969 890 911 962 850 1052 3119 2463 1978 3009 2631 3334 3506 3157 2958 2739 2195 3948
"gene_662" 30 39 53 31 42 19 166 217 142 227 201 106 555 633 808 478 721 704 429 461 520 522 695 573
"gene_663" 1961 1592 994 1395 947 1321 2885 3112 3543 3245 3279 3371 9126 9201 8763 7364 8941 9420 9583 9745 9375 10129 9085 8582
"gene_664" 24 15 11 8 24 10 39 64 55 90 44 73 182 288 141 189 185 237 177 259 243 177 233 411
"gene_665" 1533 1730 1785 1486 1821 2643 3720 3993 3939 3858 3466 3603 7579 11707 10593 11796 10177 8926 10207 11204 11901 14136 10970 9497
"gene_666" 39 35 44 42 21 35 156 101 161 150 155 110 518 512 473 367 377 364 411 573 465 372 478 572
"gene_667" 4100 4259 4156 4293 5399 4701 11474 7811 10489 9325 8995 10042 32205 23147 32674 28195 28991 26180 38146 40270 30137 25677 29357 33499
"gene_668" 679 773 571 663 552 706 2425 1709 2167 2052 1781 2015 5503 4555 5749 6471 6523 4704 4590 6120 6859 5395 6266 6812
"gene_669" 2794 2832 2856 2807 2764 2965 4250 5209 6819 5883 4934 4765 14875 12899 13507 13759 16858 14957 15392 13963 12481 18055 12444 15647
"gene_670" 189 472 504 494 444 309 1124 570 823 835 833 1046 2439 2356 2363 2677 2790 2671 2484 3019 3022 2857 2579 2782
"gene_671" 78 125 219 88 104 93 279 245 263 212 138 138 606 557 593 595 709 529 625 713 703 712 405 581
"gene_672" 12114 9179 10920 15707 9692 12463 24334 17687 17449 19021 21307 25203 65455 64736 82404 71989 70820 76617 60193 75813 63217 72887 74016 80401
"gene_673" 1578 1594 2066 1292 1461 1679 2335 2941 2646 3506 3246 3646 10573 10718 7928 9234 9485 7498 8432 8916 9767 11231 9444 9190
"gene_674" 291 233 307 275 356 372 615 734 908 822 814 761 2019 2744 2357 2623 2372 2001 2241 2386 2288 2718 2452 1808
"gene_675" 2 6 3 10 10 7 23 8 19 22 8 6 49 32 58 63 23 64 21 48 73 58 68 56
"gene_676" 36 49 65 69 38 45 107 113 86 143 130 141 348 375 370 420 300 410 362 385 379 241 462 352
"gene_677" 292 143 359 268 202 240 495 754 497 1413 534 386 1802 1986 1779 2509 1842 2008 2391 2360 1599 2015 1732 1856
"gene_678" 25 52 45 13 39 32 124 108 171 92 111 144 343 443 373 256 291 409 295 320 286 390 372 293
"gene_679" 20733 17769 15092 14069 15824 13960 41992 30881 27702 27283 32698 32719 78726 112073 100892 86409 91612 89215 84162 90956 87451 94002 104676 90889
"gene_680" 14 20 17 16 6 13 12 34 13 4 13 16 61 94 76 32 76 49 80 92 68 91 114 43
"gene_681" 57 83 57 56 40 51 297 389 485 419 363 241 1173 837 1120 948 808 842 974 763 723 1085 955 1355
"gene_682" 16540 17587 15204 14686 19113 17048 30962 31214 29348 30980 31076 27911 104956 116484 98381 108639 66825 62469 82097 100286 90184 81404 74186 89412
"gene_683" 2587 2762 2400 2362 2340 2658 5945 5452 5841 6547 5395 3940 20254 20518 18096 20623 21458 18247 18542 18476 17757 20417 19153 25288
"gene_684" 132 193 206 148 136 224 636 538 394 538 526 544 1680 1133 1623 1582 1586 1717 2025 1669 1298 1511 1538 1487
"gene_685" 8 8 5 7 15 21 61 67 89 66 92 41 249 171 128 132 235 245 152 253 247 115 108 246
"gene_686" 418 528 598 403 554 434 998 1078 1504 1220 1338 822 4713 4502 3737 4036 5693 4199 4060 4341 4240 3867 3359 4182
"gene_687" 363 317 364 309 283 419 483 436 617 615 653 584 1734 1457 1118 1280 1516 1618 1175 1462 1054 1369 1560 1114
"gene_688" 275 359 615 237 347 228 732 455 376 580 508 625 1508 1242 1778 1563 1389 1507 1761 1447 1716 1462 1513 1639
"gene_689" 223 211 149 211 181 136 368 238 393 445 285 158 781 1011 1022 759 628 1011 1095 889 931 1005 1137 716
"gene_690" 96 83 191 158 99 187 323 239 413 153 285 386 792 886 996 1068 1066 1097 886 1288 890 878 1197 1580
"gene_691" 1332 1648 1858 1204 1253 1520 2288 2316 3357 3034 2725 2717 8043 7629 8705 8701 7065 7523 6570 10422 8424 8477 6425 8789
"gene_692" 75 32 73 94 109 137 113 95 149 176 143 94 371 426 537 429 349 433 378 428 386 511 494 311
"gene_693" 1488 1309 1206 1023 1173 1114 4277 3482 3001 3229 3434 3222 10267 10852 10326 9080 8668 10793 12126 11550 10881 10606 10514 10762
"gene_694" 90 143 134 117 127 172 79 83 130 79 221 74 371 321 357 313 280 386 325 355 282 379 428 397
"gene_695" 139 131 83 183 111 178 360 147 306 409 376 493 1243 1251 1299 1147 1418 1170 1298 1324 1185 1261 1038 1359
"gene_696" 4 0 4 4 22 6 22 17 16 28 34 15 92 140 76 80 68 50 80 72 105 104 40 31
"gene_697" 56 50 58 98 34 27 233 369 246 352 280 317 922 725 575 623 824 786 753 739 626 556 786 874
"gene_698" 85 48 37 91 91 160 237 315 301 344 311 289 1248 1073 1061 699 1013 1059 808 902 1204 1167 992 1367
"gene_699" 280 444 290 135 196 281 1149 1065 823 661 539 864 3587 2351 2818 2908 2898 2912 2627 3573 2961 3629 2971 3485
"gene_700" 7059 5062 6131 8080 7211 5014 7943 9748 12698 10629 10968 10295 26121 33199 35133 31569 36109 30312 35384 27608 31584 31802 27818 30695
"gene_701" 8 0 4 8 1 2 2 0 2 3 3 0 3 2 0 3 3 1 0 2 0 4 1 0
"gene_702" 278 272 290 283 246 221 95 52 71 73 104 110 110 44 80 70 46 134 101 68 52 96 61 98
"gene_703" 251 157 122 110 158 173 51 50 69 43 89 45 51 35 31 46 18 42 31 42 67 19 74 61
"gene_704" 4 16 13 3 3 3 0 10 10 0 4 1 0 2 14 0 1 2 1 0 0 3 2 4
"gene_705" 9 5 26 13 6 24 3 16 11 2 6 2 7 12 16 10 8 3 0 4 6 4 0 6
"gene_706" 5220 5023 6473 5975 4903 5841 1564 1926 1870 1481 1798 1740 2164 1568 1992 1881 1822 1613 1828 2205 1973 1776 1784 1706
"gene_707" 7 10 4 5 2 9 7 4 2 3 3 3 2 1 1 3 1 2 0 0 4 2 0 1
"gene_708" 469 385 434 292 383 365 97 142 135 46 128 70 186 132 136 260 102 135 140 155 181 157 110 54
"gene_709" 88 69 70 11 109 81 6 30 19 16 10 15 13 13 15 15 18 14 28 20 17 33 46 21
"gene_710" 1332 1258 1321 1566 1246 1109 416 397 762 375 369 377 467 619 388 398 412 332 555 492 461 405 417 561
"gene_711" 371 353 295 314 274 262 128 82 132 203 130 67 149 104 67 84 57 116 72 105 120 47 121 56
"gene_712" 102 89 79 101 128 112 13 11 30 33 38 18 64 21 48 95 23 45 41 9 17 54 41 14
"gene_713" 624 596 550 445 570 363 155 147 124 205 155 268 253 158 219 231 269 169 226 352 185 108 178 234
"gene_714" 1491 1603 1853 1602 1560 1794 445 563 538 461 488 745 642 560 544 485 448 516 664 697 435 653 582 465
"gene_715" 2690 2613 2677 3885 2866 3355 1064 989 1005 1030 674 763 804 849 730 1058 1055 676 960 665 930 731 891 812
"gene_716" 1089 706 1179 1014 1018 699 311 423 215 259 274 325 333 493 414 367 243 406 297 405 402 412 308 313
"gene_717" 471 542 533 394 547 490 114 143 198 156 372 250 252 104 84 182 141 123 204 98 186 177 131 80
"gene_718" 411 530 493 763 502 500 181 148 187 260 218 267 215 209 189 159 352 159 176 204 272 202 145 172
"gene_719" 52 69 50 81 41 48 24 18 12 15 17 16 19 8 27 19 20 14 9 27 4 10 34 18
"gene_720" 91 190 88 125 127 119 8 27 19 43 11 29 34 22 23 23 15 42 19 26 37 27 17 17
"gene_721" 228 110 176 354 391 188 72 124 114 96 58 55 103 90 60 90 127 83 106 76 98 147 59 120
"gene_722" 2659 1874 2673 2286 1959 3147 1001 863 888 824 841 653 840 866 727 1002 780 869 749 738 878 783 828 859
"gene_723" 555 373 490 488 530 631 153 156 101 160 264 214 189 274 174 152 159 343 177 162 139 177 197 157
"gene_724" 2404 2018 2494 2146 2243 2611 686 804 718 663 608 742 573 816 558 768 734 586 668 620 822 780 596 616
"gene_725" 233 184 104 195 176 221 39 64 46 35 37 51 72 50 44 49 79 60 27 58 14 22 69 33
"gene_726" 378 386 307 419 432 201 51 98 108 62 58 153 156 103 263 91 113 110 78 176 151 187 88 167
"gene_727" 325 347 371 372 368 325 145 119 89 166 80 157 157 59 95 121 123 121 90 131 88 112 147 142
"gene_728" 159 217 171 199 192 142 54 32 90 107 96 27 82 71 99 66 42 36 95 63 81 49 76 59
"gene_729" 241 262 233 193 266 193 24 80 157 59 133 76 85 159 107 169 59 110 116 91 59 99 141 97
"gene_730" 106 202 136 194 160 149 62 79 33 59 43 43 75 45 65 25 24 26 19 73 30 57 64 80
"gene_731" 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_732" 227 221 312 218 235 280 116 68 125 63 53 90 120 70 78 59 73 42 74 112 85 59 94 61
"gene_733" 865 624 618 849 881 1040 186 292 207 210 342 290 338 189 289 271 250 397 239 260 299 210 163 316
"gene_734" 1009 786 631 718 740 899 309 272 262 209 308 226 486 210 341 383 172 339 298 282 231 283 463 257
"gene_735" 1982 2197 2476 1907 1688 2987 1053 702 739 822 1009 855 630 636 797 707 767 730 489 970 875 879 666 778
"gene_736" 30 41 72 33 42 70 22 28 21 25 30 41 5 21 5 21 10 19 17 29 18 23 41 45
"gene_737" 137 190 111 139 153 174 47 59 13 39 59 104 32 22 67 47 58 61 62 30 38 14 48 69
"gene_738" 1574 1944 1762 1888 2003 1648 727 757 654 943 731 578 477 774 546 460 352 675 473 826 735 750 599 620
"gene_739" 803 939 865 823 657 733 208 347 144 229 226 122 338 194 227 239 339 311 230 251 414 468 192 348
"gene_740" 51 56 41 24 34 47 26 14 8 32 21 15 14 3 26 19 5 15 18 6 11 14 4 28
"gene_741" 376 568 444 451 550 249 183 140 279 200 130 118 220 232 224 230 268 120 207 242 243 132 212 220
"gene_742" 53 33 39 36 93 28 12 17 2 16 11 19 12 13 7 12 10 8 16 24 16 3 2 14
"gene_743" 244 235 315 269 298 211 102 78 70 47 72 91 114 84 60 81 107 107 76 53 50 77 107 120
"gene_744" 66 50 59 100 110 70 25 10 14 5 20 49 14 17 31 25 17 32 65 27 9 40 24 24
"gene_745" 1085 1251 1240 983 1156 924 332 234 512 400 391 306 391 383 367 319 311 358 394 410 389 285 332 321
"gene_746" 4 11 20 27 10 29 8 4 14 14 18 12 10 0 4 16 6 16 4 4 5 8 12 14
"gene_747" 8454 9146 8674 10387 8582 8061 2838 2914 3436 3200 2968 3014 2531 2970 2890 3218 2682 2744 3577 2861 2049 2547 2400 2665
"gene_748" 436 457 396 606 541 581 126 178 146 102 140 205 240 131 111 242 127 104 183 136 78 102 223 64
"gene_749" 2283 2532 2277 2587 1637 2268 755 757 888 655 806 778 619 687 786 793 766 713 870 616 901 997 603 718
"gene_750" 1722 1011 1476 1275 802 1004 340 528 283 317 261 460 579 465 319 293 351 412 405 435 494 446 413 242
"gene_751" 248 175 122 119 157 207 64 72 79 92 52 124 13 12 12 17 43 14 8 30 2 12 46 33
"gene_752" 230 338 431 153 356 194 114 135 134 102 256 130 44 43 32 27 50 32 31 48 41 78 53 40
"gene_753" 11374 13077 15793 16572 12148 14108 10163 8067 7702 7906 7562 5256 2798 2213 2689 2673 1847 2591 2089 2139 2064 3315 2778 1893
"gene_754" 3719 2700 2723 2890 2948 3017 1495 1418 1566 1338 1852 1891 631 388 907 437 488 534 543 683 667 554 704 790
"gene_755" 164 91 140 271 170 153 46 56 71 20 22 40 3 18 26 32 11 20 18 6 23 14 9 14
"gene_756" 862 928 1032 771 817 840 401 291 239 379 430 364 80 104 54 96 64 116 131 131 104 75 109 77
"gene_757" 3632 3055 3698 3749 3643 3810 1803 904 1178 877 1226 1132 446 350 415 313 483 594 405 451 394 562 325 593
"gene_758" 277 438 519 463 530 457 138 178 162 257 256 182 73 68 118 84 86 55 61 54 88 52 32 114
"gene_759" 70 64 58 103 100 41 40 9 31 36 18 28 5 17 14 23 10 9 3 5 17 4 30 20
"gene_760" 3833 3878 2717 3143 4014 3202 1597 1623 1441 1717 1806 1666 758 684 596 617 199 724 295 453 509 873 157 316
"gene_761" 3239 1916 1688 2752 2551 1901 1188 950 1281 919 1069 1128 230 339 305 214 413 174 419 351 347 202 293 388
"gene_762" 2971 3923 4161 3965 2852 6069 1600 1455 1507 1592 1934 1896 725 419 975 507 549 590 542 670 645 465 639 638
"gene_763" 0 0 0 0 0 0 0 6 0 0 3 4 2 1 1 0 0 1 1 2 7 0 0 2
"gene_764" 3472 3738 3786 3437 2765 2447 1586 1757 1632 1491 1498 2456 454 674 755 613 465 463 591 557 516 495 739 550
"gene_765" 28 10 7 7 4 13 8 4 4 10 4 50 1 6 1 3 1 0 2 0 4 2 0 4
"gene_766" 1679 1880 1479 2716 2739 2510 1037 1038 1245 984 1098 1291 361 251 224 475 466 432 306 651 313 405 435 328
"gene_767" 2782 2612 2929 2462 3493 3637 1801 1485 1486 1092 1224 1314 508 710 258 411 429 392 550 341 324 447 384 511
"gene_768" 137 35 88 117 53 114 72 67 90 50 125 77 11 21 8 36 32 36 25 26 18 12 44 17
"gene_769" 179 166 230 178 214 202 78 79 96 118 79 60 20 23 72 21 17 13 32 37 27 17 13 18
"gene_770" 2519 2980 3050 3332 2327 2579 1288 1046 1152 1118 1159 936 410 575 229 443 475 507 379 609 347 464 473 366
"gene_771" 5221 6543 5932 5332 5672 4435 2000 2726 2669 2621 2170 2930 740 1010 1119 801 832 987 929 924 610 1058 1034 929
"gene_772" 1877 1505 1386 1587 1526 1957 801 825 940 1170 792 885 368 318 295 254 302 347 259 188 265 378 371 379
"gene_773" 464 482 559 451 438 506 251 233 215 388 268 393 86 90 88 79 112 58 123 84 76 46 83 162
"gene_774" 25 40 9 11 13 17 2 15 12 3 1 4 1 1 0 3 7 1 1 1 0 2 10 0
"gene_775" 3715 3793 3024 3110 3166 4501 1622 1879 1818 2131 1800 1715 845 613 793 820 584 570 613 616 583 501 493 588
"gene_776" 256 351 381 300 316 395 63 97 118 102 85 76 26 15 20 61 23 23 48 16 28 38 12 18
"gene_777" 2835 2191 2743 2584 2915 2081 1058 1206 1123 1122 1031 1357 500 225 517 488 619 317 367 427 609 215 678 376
"gene_778" 359 284 308 347 310 459 181 118 127 144 105 118 92 44 48 41 31 49 37 26 41 18 32 19
"gene_779" 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_780" 391 294 432 341 400 371 208 283 179 238 268 163 41 72 53 52 55 96 62 74 127 86 30 38
"gene_781" 3447 2840 2993 2075 3281 2668 1676 1403 1539 1496 1742 1435 461 340 304 686 399 401 591 419 388 354 547 810
"gene_782" 2102 2676 2212 2237 2600 2171 918 978 1122 950 1414 1131 324 397 533 399 398 551 277 484 348 397 463 376
"gene_783" 47 38 35 40 24 14 4 14 26 25 9 19 2 16 14 6 4 10 8 14 2 2 22 8
"gene_784" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_785" 1465 1721 1797 1871 1942 2056 1009 1259 856 577 867 584 266 248 242 278 255 256 277 224 313 275 246 271
"gene_786" 3476 3503 3589 3620 3578 4059 1995 1955 2068 2043 1975 1697 707 764 704 708 736 633 575 660 547 630 767 958
"gene_787" 2503 2422 3051 2423 2767 2642 1144 2578 1288 1712 1645 1270 532 662 399 395 455 411 546 393 491 502 623 554
"gene_788" 295 269 165 157 123 208 239 207 167 203 195 211 46 78 37 51 89 50 50 63 53 23 28 89
"gene_789" 15 14 2 20 43 20 10 3 3 14 1 4 1 6 0 0 5 2 1 2 1 0 3 0
"gene_790" 1727 1568 1417 1782 1629 1241 744 610 714 797 686 947 235 363 245 175 303 242 283 300 249 346 254 237
"gene_791" 683 442 394 436 509 399 417 430 280 367 462 417 140 147 114 149 148 203 99 111 135 106 161 146
"gene_792" 658 638 751 556 1077 1034 438 521 390 448 363 352 154 85 63 156 193 155 200 136 203 128 190 219
"gene_793" 984 891 1171 1102 1143 796 425 479 426 454 340 386 111 142 119 132 113 156 227 207 145 109 138 143
"gene_794" 850 1133 888 949 792 778 345 263 461 618 541 356 93 119 110 129 95 110 138 61 87 136 93 122
"gene_795" 395 427 449 380 450 335 123 210 150 218 336 335 103 36 63 50 92 91 49 104 91 97 22 55
"gene_796" 37 31 33 84 42 46 26 6 20 8 3 5 0 1 6 5 2 2 3 4 0 4 3 1
"gene_797" 169 72 313 345 301 292 73 27 51 71 46 69 33 19 23 35 27 37 9 22 30 8 24 15
