"TP1_1" "TP1_2" "TP1_3" "TP2_1" "TP2_2" "TP2_3" "TP3_1" "TP3_2" "TP3_3" "TP4_1" "TP4_2" "TP4_3" "TP5_1" "TP5_2" "TP5_3" "TP6_1" "TP6_2" "TP6_3" "TP7_1" "TP7_2" "TP7_3" "TP8_1" "TP8_2" "TP8_3"
"gene_2494" 425 382 524 400 504 359 349 500 450 396 262 208 360 300 434 324 285 396 408 423 368 289 313 197
"gene_2495" 3597 3261 3552 3552 3570 4743 3939 3806 4029 4034 3437 4160 3528 4411 3710 4726 3465 3758 4020 3692 3915 3839 4033 4561
"gene_2496" 2520 2247 2597 2484 2455 2769 1474 1551 1760 1869 2181 1448 2089 1865 2140 1845 2340 2288 1252 1253 1410 996 1268 1473
"gene_2497" 2050 2538 3251 3532 3048 3096 3923 4488 4264 4427 4972 4217 3749 4395 4026 3866 3803 4390 4119 4506 4521 3650 3492 3533
"gene_2498" 1675 2000 1484 1466 1701 1831 1875 1566 2114 1950 1973 1886 1478 963 1318 1431 1195 1109 2180 1835 2023 1730 1844 1780
"gene_2499" 80 65 34 48 87 80 68 42 49 40 32 35 20 2 12 12 6 10 42 33 21 18 58 52
"gene_2500" 1201 1108 1136 1117 1042 1096 885 1326 1271 1164 1150 1154 1261 1232 1057 1274 1468 1280 1405 1329 1311 1075 1281 1525
"gene_2501" 217 183 107 151 156 142 181 132 154 150 234 194 292 210 258 228 262 295 282 315 192 211 198 430
"gene_2502" 1388 1064 1266 1207 1056 1132 1188 923 971 1160 1045 966 518 325 802 912 791 996 1239 1177 848 1257 913 1476
"gene_2503" 5094 5438 5687 4456 4050 4682 5573 5231 5054 5819 5056 4445 4669 3820 4693 4894 3710 4025 4557 5316 5585 5234 5007 6315
"gene_2504" 3613 3051 3260 3055 2571 3168 2844 2508 2549 2366 2356 2586 2817 2721 2303 2838 2664 3346 4035 3538 2822 3593 3068 3825
"gene_2505" 1940 2612 2684 2973 2284 2392 1441 1691 1778 1813 1678 1820 1775 2195 1779 1666 1690 2135 1157 1228 1788 1579 2195 1069
"gene_2506" 319 198 154 306 202 270 165 117 169 252 177 237 204 217 272 394 339 78 124 136 148 157 102 98
"gene_2507" 0 0 0 0 0 0 0 0 0 0 0 0 7 5 3 6 0 0 0 0 0 0 0 0
"gene_2508" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 11 0 3 1 6
"gene_2509" 25 31 20 36 13 28 48 49 28 56 47 30 9 26 7 36 20 36 24 56 38 39 35 57
"gene_2510" 2800 3309 3406 3737 3232 3254 2794 3046 3423 2745 2453 2861 3822 3179 2580 3137 3380 2479 2696 3380 3814 2757 3365 3482
"gene_2511" 682 729 855 755 558 710 955 1096 866 1090 1072 1185 592 775 312 660 528 628 1089 652 1046 823 1181 958
"gene_2512" 87 45 59 86 42 31 58 39 77 169 96 52 9 13 3 5 2 1 53 16 55 56 78 27
"gene_2513" 3886 4098 3400 2960 4009 3296 3262 3243 3148 2738 3018 2762 2480 2852 3360 3102 3589 3119 2463 2338 2385 2555 2418 2444
"gene_2514" 2659 2584 5314 5138 4310 4241 4944 4066 4825 4294 4923 3653 2578 5281 3353 4293 3783 2964 4394 3550 5125 5856 4771 4108
"gene_2515" 862 1116 1181 878 934 1098 1081 947 740 1045 1133 785 1120 946 1039 980 963 668 1226 1483 1165 1428 1485 1155
"gene_2516" 1418 1792 1897 1302 1666 1799 2151 1684 1486 2047 1910 1983 1941 1710 1593 2235 2097 2018 957 1261 1407 1000 1336 1463
"gene_2517" 2931 2649 2152 2771 2508 2885 3030 2297 2469 2549 2158 2426 2002 1980 2082 1926 1965 2349 1640 1742 1392 1572 1229 1473
"gene_2518" 4 4 2 6 8 12 1 2 0 2 17 3 6 14 1 8 2 15 11 19 8 12 24 29
"gene_2519" 50 26 51 105 68 18 93 104 32 62 55 53 76 99 72 80 94 98 41 103 51 32 66 55
"gene_2520" 177 241 176 192 336 269 349 396 309 200 347 393 237 258 249 267 236 260 144 194 169 172 196 232
"gene_2521" 1867 2529 1842 1729 3134 2895 2023 1800 1778 1605 1843 1676 1825 1689 1958 1743 1864 1989 1415 1323 1460 1147 1264 2168
"gene_2522" 2790 3816 2621 3469 3428 3277 3164 3015 3478 2263 3389 3656 5026 3067 4290 3951 4434 3034 2011 2662 2776 2464 2317 2497
"gene_2523" 3584 3318 3807 3664 3614 3402 2364 2816 2139 1828 2846 2541 3200 2936 2351 2863 2398 2712 3043 2610 2300 2431 2135 2330
"gene_2524" 870 697 651 1257 465 577 784 504 571 920 910 935 800 884 777 758 784 561 836 620 485 660 600 519
"gene_2525" 194 232 196 129 170 174 109 118 64 104 90 107 364 118 101 235 133 286 18 17 18 27 35 21
"gene_2526" 1221 901 1035 931 895 1258 877 1017 1080 951 1043 1007 1000 1021 815 879 1274 1146 899 677 687 746 661 733
"gene_2527" 200 299 282 200 276 211 440 339 392 344 373 398 274 369 230 170 263 186 269 249 244 220 171 160
"gene_2528" 0 0 0 0 0 0 78 47 85 96 69 121 54 30 29 17 33 20 32 14 21 23 10 26
"gene_2529" 401 307 338 264 184 271 257 229 297 273 363 199 58 73 163 91 120 54 246 196 208 141 156 218
"gene_2530" 0 0 0 0 0 0 1 30 32 15 25 9 9 30 22 15 15 16 0 0 0 0 0 0
"gene_2531" 903 1176 1022 866 761 986 1758 1843 1830 2599 1950 1619 1198 1260 1749 1962 1667 1417 1191 1568 1574 1112 1158 1865
"gene_2532" 1508 1478 1338 1666 1375 919 918 704 1318 628 911 973 517 572 723 1209 620 703 580 635 759 535 650 634
"gene_2533" 63 69 111 40 90 40 134 167 164 119 98 222 14 24 22 31 34 9 40 67 68 60 64 26
"gene_2534" 19 11 16 15 24 28 44 52 11 59 41 9 30 20 32 23 36 31 2 2 3 2 0 11
"gene_2535" 216 151 210 367 167 183 330 123 204 226 279 231 413 588 496 549 439 516 281 95 268 197 239 209
"gene_2536" 1632 1840 2023 2809 1914 2028 2247 1905 1941 1502 1841 2162 1233 1179 1332 1420 1908 1056 1766 2465 2424 2788 2497 2562
"gene_2537" 1322 1819 1222 1324 1421 1284 1229 1323 1130 1236 1367 1541 1044 1054 1170 880 1003 1238 1681 1299 1348 1376 1325 1589
"gene_2538" 502 662 599 639 699 762 808 379 1009 760 790 457 767 875 836 754 908 704 766 636 755 813 663 774
"gene_2539" 752 674 552 569 626 680 775 814 764 844 641 1218 399 390 536 307 348 328 914 869 751 848 517 728
"gene_2540" 379 310 524 442 549 450 289 312 381 283 338 453 238 445 508 172 280 248 529 489 298 364 494 202
"gene_2541" 0 0 0 0 0 0 5 14 10 4 4 8 0 0 0 0 0 0 7 6 2 11 1 1
"gene_2542" 985 1294 1200 881 1279 1141 567 925 1077 905 1251 1644 1785 1906 1825 1729 1902 2128 1112 2116 1426 1242 1622 1857
"gene_2543" 5942 5541 6152 4895 4941 5083 6409 6684 5771 5760 6676 6513 3815 2965 3978 3645 3267 3773 7312 6688 5849 7526 6153 6942
"gene_2544" 182 348 422 270 214 311 42 71 89 193 69 71 109 239 116 218 238 160 368 377 366 367 318 347
"gene_2545" 128 43 46 74 95 53 144 142 190 186 109 257 40 92 110 119 82 71 192 319 134 226 207 331
"gene_2546" 308 228 421 668 282 486 500 271 303 213 356 397 809 952 792 821 636 695 368 587 411 562 472 350
"gene_2547" 1397 1084 1469 1116 1309 1129 1171 1462 1271 1273 1407 1372 616 529 609 679 519 610 1521 1154 1528 1360 1454 1313
"gene_2548" 2070 2106 3109 2502 2818 3487 3027 2303 2857 2528 2429 3016 2475 1855 2111 2225 2031 2065 2811 2185 2591 2383 1448 3033
"gene_2549" 19938 19221 16164 13668 15101 14704 12956 12241 12025 13954 12181 13101 13843 12974 10495 15145 11781 18601 16043 15161 13574 14287 13577 12890
"gene_2550" 4499 5113 4539 4645 5586 4778 3782 4096 5409 4800 4253 4109 4211 5353 4956 5872 5841 4317 4526 5187 5270 4573 5361 4393
"gene_2551" 562 761 733 749 734 747 603 770 744 803 845 769 833 784 888 934 1111 742 473 444 414 524 453 462
"gene_2552" 1484 1415 901 1676 1386 1510 1023 1480 1398 1454 1641 1235 909 1163 1150 1019 971 848 1217 1301 1308 1354 1341 1369
"gene_2553" 99 72 57 40 96 53 145 231 250 201 84 107 241 435 275 333 231 269 259 474 325 283 512 465
"gene_2554" 1866 1738 1914 1866 1680 1956 1399 1392 1178 789 1441 1280 987 1448 871 1244 1137 1153 956 1145 1216 1083 1202 1324
"gene_2555" 353 327 365 389 303 328 363 226 369 314 312 185 961 553 422 504 611 736 509 408 258 446 431 396
"gene_2556" 48 26 28 30 28 61 0 0 0 0 0 0 15 21 12 4 10 21 38 29 23 22 20 38
"gene_2557" 1706 1816 2021 1826 1607 1902 2221 2272 2022 1570 2424 2505 1859 1303 1368 1455 1423 1242 1636 2447 1722 1819 1691 1849
"gene_2558" 528 513 405 352 704 744 363 478 789 569 449 483 224 273 351 280 316 354 537 707 878 716 678 473
"gene_2559" 3435 3964 4608 2961 3996 4281 3439 2257 3027 3499 3027 3472 3874 3700 3872 3905 3607 3921 1992 2179 2087 2183 2507 2363
"gene_2560" 772 1137 1401 1478 1512 1854 1376 1137 1647 1232 1504 1312 2648 2168 1890 2730 2806 2838 2536 1799 2420 1711 1726 1964
"gene_2561" 1236 1031 1315 1003 1185 1456 768 556 466 544 908 563 713 642 1158 626 600 295 752 768 624 992 847 760
"gene_2562" 2310 4079 2839 3239 3484 3436 4258 5243 4653 3256 5282 4423 2279 1964 1851 2562 2435 1820 3373 3168 2984 3105 2779 2765
"gene_2563" 106 239 149 259 177 203 77 106 169 127 94 149 118 139 142 249 184 145 77 113 95 87 106 85
"gene_2564" 9448 9548 10059 9325 8975 10704 9470 10792 12360 11634 9402 8871 8503 8991 9865 10349 10164 9344 10394 12146 10558 12451 9895 8639
"gene_2565" 331 404 318 418 334 444 90 92 69 86 122 154 129 131 117 79 117 129 267 349 162 175 155 185
"gene_2566" 6548 6770 6883 7124 6915 7830 3176 3858 3598 2974 3855 3097 3701 5596 4002 4525 4541 3888 8898 7322 7460 4546 3776 8303
"gene_2567" 296 305 335 311 344 276 150 90 88 127 76 100 258 201 226 249 302 241 215 295 173 230 122 207
"gene_2568" 3648 3575 3579 3433 3525 2474 2822 3258 3047 3064 3281 4111 4365 3486 4362 4442 3945 3241 3181 3349 3953 3791 4034 3735
"gene_2569" 1291 1289 1283 1220 1290 1116 649 698 463 646 620 935 1055 924 1146 975 900 1005 990 1037 1274 944 1020 1082
"gene_2570" 3 3 0 2 18 16 0 0 0 0 0 0 0 0 0 0 0 0 8 2 8 0 0 4
"gene_2571" 213 202 185 194 157 216 259 225 434 300 289 320 447 436 394 458 428 438 329 365 327 446 358 412
"gene_2572" 1244 1223 1407 1248 1486 1139 1810 1760 1864 1939 1916 1539 849 906 1091 850 848 711 2080 1645 1820 1732 2144 1690
"gene_2573" 1339 1290 590 690 807 1042 1542 1592 1302 1545 1615 1437 1775 1682 1215 1725 1701 1386 1052 1317 1407 1175 1343 1131
"gene_2574" 1752 1830 1505 1986 1485 1676 1045 879 887 1572 952 691 1208 954 875 977 1134 1074 958 967 690 594 834 826
"gene_2575" 68 100 101 98 205 137 149 368 180 203 89 113 109 239 196 259 209 109 307 297 416 336 384 289
"gene_2576" 1682 2075 1425 1920 1444 1595 2735 3151 3221 2254 3326 2804 1711 2336 2777 1724 2282 2029 2008 1995 2332 1631 1385 2009
"gene_2577" 0 0 0 0 0 0 12 9 4 4 12 18 62 27 31 35 98 47 7 9 15 9 6 25
"gene_2578" 21 16 17 3 17 19 107 53 97 97 88 63 38 31 54 26 28 29 33 76 45 41 35 42
"gene_2579" 688 300 484 554 342 624 347 438 339 488 268 410 457 747 485 368 301 491 688 655 788 697 573 550
"gene_2580" 148 153 128 180 160 241 94 69 118 144 110 143 259 310 167 174 264 212 149 108 152 118 177 243
"gene_2581" 0 3 0 14 5 0 0 0 0 0 0 0 160 248 125 36 102 65 9 11 7 5 15 11
"gene_2582" 5605 4668 5897 5108 4854 5488 3230 3256 4205 3795 3838 4019 2178 3182 2235 1918 2305 2569 2931 2411 2061 2482 2972 2227
"gene_2583" 10 12 3 5 2 1 0 0 0 0 0 0 0 0 0 0 0 0 2 7 3 6 15 2
"gene_2584" 56 39 82 74 86 83 95 124 147 118 61 117 186 51 128 78 112 61 167 124 132 90 229 202
"gene_2585" 14 35 13 10 32 17 17 23 21 15 6 14 78 50 63 65 60 25 12 15 10 31 45 26
"gene_2586" 553 412 590 629 556 639 703 525 558 494 436 754 662 361 205 654 595 445 350 342 474 433 355 332
"gene_2587" 791 611 654 1295 524 773 655 474 567 713 620 410 781 536 710 672 581 372 386 345 538 399 484 280
"gene_2588" 2399 1946 2291 1880 2382 2217 2336 3343 2961 2992 3015 3037 2340 3438 2343 2372 3034 1743 2892 2539 2502 3156 2757 2771
"gene_2589" 1120 1043 1112 983 830 714 873 872 915 938 1217 829 1183 1317 1239 1172 1326 828 1248 1005 1066 1388 1142 1154
"gene_2590" 1028 787 911 842 1064 1008 1505 1574 1278 1012 1251 1349 2068 1815 2101 2334 2003 2525 947 1089 1049 1414 1057 1413
"gene_2591" 676 541 592 436 546 552 590 1054 457 1077 361 667 595 574 730 793 873 902 751 597 519 793 718 832
"gene_2592" 1014 1045 1167 906 1344 1077 969 1292 1516 1535 931 1292 814 753 651 739 649 719 1432 1199 1791 1266 903 1857
"gene_2593" 1343 1273 1015 721 997 1277 622 733 622 734 802 956 711 462 495 404 581 376 468 648 651 562 548 904
"gene_2594" 181 206 147 120 173 229 42 52 22 29 32 16 28 36 19 12 28 31 17 39 88 20 36 34
"gene_2595" 1216 1085 1328 1181 756 1098 1624 2049 2079 2332 1941 1770 1042 1243 1436 1554 1529 918 988 1465 1090 1080 1073 1078
"gene_2596" 1160 998 1222 1155 1229 842 1061 938 808 1079 891 808 676 890 701 802 891 753 1484 1104 1460 1454 1660 1537
"gene_2597" 1572 1884 1708 1453 1346 1417 1325 930 1509 1337 1572 1086 843 1146 841 793 734 1217 1053 1468 885 1256 1240 1255
"gene_2598" 1861 2908 2120 1538 2041 1696 2379 2124 2235 2229 2210 1836 3428 2915 3853 4399 4217 4164 3684 2825 2730 3055 2769 3482
"gene_2599" 294 364 364 288 573 336 432 261 477 269 369 288 258 307 531 383 296 226 173 208 208 172 136 276
"gene_2600" 302 254 340 433 241 465 581 625 536 444 500 497 664 759 833 793 873 682 449 446 301 304 270 406
"gene_2601" 499 545 486 616 509 493 405 395 252 319 368 357 707 881 872 736 715 846 580 522 696 718 439 535
"gene_2602" 874 1047 649 1277 1129 976 982 829 794 775 725 987 888 680 1207 1004 1034 918 1351 1430 1086 1277 1133 975
"gene_2603" 745 656 927 1072 1008 740 400 770 528 722 681 567 478 360 624 380 606 610 348 302 194 274 238 195
"gene_2604" 3691 3393 2934 3510 3534 2827 4817 3619 4902 4891 4787 4056 2494 2559 2467 2588 2721 3317 2752 2894 2457 3106 2393 2799
"gene_2605" 1415 1559 955 1288 1313 1117 1959 2159 2031 1941 2329 2784 1065 941 979 1743 1026 1158 1170 1458 1586 1487 1341 1189
"gene_2606" 2 1 1 10 6 1 30 14 16 23 24 34 12 20 24 28 26 13 6 7 26 20 4 17
"gene_2607" 799 723 789 820 299 532 958 854 624 1136 1046 901 1194 1060 1171 1174 1010 993 839 440 654 497 583 594
"gene_2608" 68 36 23 13 13 51 14 22 7 14 10 6 0 7 6 0 2 0 0 0 0 0 0 0
"gene_2609" 97 59 53 79 55 61 72 74 91 47 90 59 47 57 66 94 59 53 28 34 23 12 28 35
"gene_2610" 0 0 0 0 0 0 53 25 22 31 28 35 0 0 0 0 0 0 11 11 13 9 26 14
"gene_2611" 21 7 8 12 10 16 37 65 35 64 115 71 18 23 15 10 13 57 6 12 22 14 19 16
"gene_2612" 272 396 437 400 351 435 331 315 346 306 313 306 441 684 400 718 296 778 205 183 221 250 359 376
"gene_2613" 1265 1104 1095 1302 1134 1286 827 1010 1316 1001 1183 1151 2223 2367 2718 2331 2579 2282 994 1489 1367 936 1284 963
"gene_2614" 0 0 0 0 0 0 1 2 2 1 2 0 4 8 12 10 20 16 2 2 0 0 13 4
"gene_2615" 57 48 59 50 42 25 33 15 2 42 20 28 11 36 44 137 86 72 21 4 10 14 6 2
"gene_2616" 149 175 138 291 84 142 64 45 59 66 105 80 98 86 83 224 198 153 255 306 216 261 419 299
"gene_2617" 4502 6121 6065 5296 7258 4930 7163 5578 6414 7716 7823 6717 6841 10378 8246 7438 6822 7501 7903 6653 7364 7196 6557 8630
"gene_2618" 1184 1037 717 908 1242 1006 1429 1141 1234 1189 1238 1301 968 942 1056 1198 1023 1091 830 1176 2273 1413 1002 973
"gene_2619" 536 572 360 465 337 326 694 569 527 711 539 557 556 310 517 424 416 551 586 805 1060 953 881 735
"gene_2620" 9463 7664 10540 9043 8798 8414 6774 9574 8081 8072 10313 9295 7616 9809 7427 8712 8460 8802 6562 4242 6790 7043 8342 6389
"gene_2621" 111 109 212 141 138 134 351 352 393 250 181 289 395 202 261 276 342 347 219 414 199 367 246 249
"gene_2622" 8285 7949 8222 8227 7321 6951 7310 7192 5500 6822 4992 6889 6288 6762 6302 5118 6680 6403 7721 7456 8729 7438 7406 8027
"gene_2623" 1245 1314 803 1131 1155 1344 603 1083 629 656 642 642 949 886 679 901 1008 921 538 796 668 538 704 594
"gene_2624" 128 119 99 120 146 132 29 84 56 27 30 33 104 91 63 102 74 93 103 71 87 52 103 140
"gene_2625" 3881 3752 4383 4837 4840 4613 2178 2213 2154 2287 2047 2067 3635 3487 3869 2960 2943 3238 3076 2551 2782 2722 2879 3576
"gene_2626" 22 17 27 15 21 15 10 45 9 19 27 11 4 12 4 25 19 25 32 14 30 47 31 49
"gene_2627" 264 308 374 236 274 146 277 257 295 256 206 268 356 276 288 403 285 665 392 219 418 622 654 342
"gene_2628" 769 645 848 667 802 843 382 555 430 371 425 417 356 542 526 446 547 556 721 733 934 580 392 748
"gene_2629" 48 51 47 45 91 83 43 32 100 76 59 59 38 75 66 51 68 60 49 40 57 34 55 56
"gene_2630" 35 49 61 55 54 42 23 35 20 45 37 5 12 23 10 20 14 19 71 78 110 76 29 32
"gene_2631" 93 79 208 89 77 154 93 54 72 85 115 105 72 88 74 45 22 110 49 67 34 53 39 69
"gene_2632" 0 2 10 10 2 5 4 6 4 15 10 6 4 3 5 13 5 3 12 6 10 38 15 26
"gene_2633" 275 402 371 303 687 395 327 255 261 345 289 434 302 274 369 340 217 310 233 259 139 197 111 264
"gene_2634" 6302 8298 4532 8103 7913 5552 8182 9647 6933 8125 7615 6840 6284 7314 6603 7423 5868 5497 10338 6162 7328 5845 5435 5182
"gene_2635" 8063 9332 8726 9071 8392 7924 9134 8600 8451 8338 8716 8528 9462 10018 9226 9002 8904 9263 6925 8324 6996 8681 7507 6970
"gene_2636" 3194 2803 2919 3244 3186 2642 1376 1190 1236 1114 1347 1419 3715 3448 4201 3700 4270 4263 4792 5454 5396 4767 5645 5409
"gene_2637" 0 0 0 0 0 0 6 2 2 2 4 2 0 0 0 0 0 0 8 4 6 1 14 16
"gene_2638" 481 578 406 478 505 588 489 398 470 692 428 402 439 584 627 574 570 539 610 716 447 673 491 742
"gene_2639" 17 24 34 24 29 25 0 10 4 4 17 2 27 62 16 18 29 46 108 88 64 63 81 45
"gene_2640" 2408 1924 1841 1824 1979 1636 2905 2103 2182 2997 2255 2917 2226 1638 1679 1811 2143 1519 1484 1985 1806 2166 2135 1677
"gene_2641" 22 36 108 101 64 19 124 101 157 74 87 84 48 144 47 82 41 110 77 98 76 58 72 51
"gene_2642" 58 65 61 134 68 80 142 86 140 140 146 262 289 206 141 293 263 182 133 195 74 129 148 112
"gene_2643" 8682 9474 8770 9088 9679 10273 11613 11519 8694 8900 9809 9401 11662 8069 9130 8179 14281 9202 9705 8579 8108 9572 11678 8763
"gene_2644" 347 328 485 342 381 342 494 420 522 361 543 518 215 185 361 294 288 297 249 277 292 398 259 211
"gene_2645" 2115 1580 1926 1589 1798 1721 1509 1871 1601 1660 1935 1763 2442 2176 1817 2182 1973 1757 1599 1532 1598 1714 1529 1629
"gene_2646" 3874 3815 3400 4147 3142 3541 1862 2462 2793 2684 1971 2177 1651 1321 1341 1453 1591 1534 2863 2213 2782 2767 3415 2677
"gene_2647" 437 479 356 512 317 392 366 359 359 375 359 406 766 241 836 447 458 393 214 322 375 229 215 174
"gene_2648" 877 1128 772 809 804 785 1601 1205 1317 1680 1552 1992 1010 1102 1011 1242 1032 1229 664 1059 639 819 852 538
"gene_2649" 372 269 432 328 511 362 381 322 328 358 482 334 247 117 273 299 287 361 367 403 231 356 362 225
"gene_2650" 465 913 601 540 861 828 83 93 137 144 106 199 342 419 499 376 447 441 189 260 337 234 221 274
"gene_2651" 333 355 247 357 262 390 718 807 505 598 711 361 512 429 457 400 526 345 515 366 287 453 375 342
"gene_2652" 3278 4034 3158 4188 3897 3753 5143 6009 5610 4021 5596 5155 5136 5987 4627 5118 5396 5449 4949 3858 5201 4598 4054 4809
"gene_2653" 186 189 123 160 192 199 203 182 356 154 194 354 364 298 405 350 435 227 119 213 121 174 162 127
"gene_2654" 25 48 27 33 15 17 0 0 0 0 0 0 21 50 32 73 19 34 21 32 22 19 18 31
"gene_2655" 1593 1473 1400 1698 1325 1251 1978 1638 2049 1985 1656 1907 2837 2348 3365 2846 2594 2459 2052 2381 1689 1998 2238 2347
"gene_2656" 2 5 4 9 5 4 35 50 24 36 8 27 6 12 7 11 8 10 7 8 4 1 1 8
"gene_2657" 30 64 48 31 25 25 139 106 152 238 120 67 98 60 117 105 78 113 106 113 308 197 152 221
"gene_2658" 6256 6083 6890 6128 5577 5493 8886 7249 5484 7140 12546 9436 4369 6977 7044 10486 6567 6131 4098 5135 5793 3978 5729 5516
"gene_2659" 204 352 291 279 401 274 720 884 685 639 1199 744 290 217 227 239 226 203 537 745 1210 534 1152 1099
"gene_2660" 2767 2023 1803 2233 1866 2261 2078 2441 3551 1905 2117 2113 2092 2204 2242 2011 2336 1759 2529 2091 3125 2359 2611 2575
"gene_2661" 2087 2118 3950 1971 3471 2557 2085 2716 2624 2108 3024 2535 2067 1247 1223 2291 2297 2237 2719 2765 2509 2257 2566 3002
"gene_2662" 11 16 10 21 5 13 13 31 18 15 12 24 24 60 53 47 36 61 36 28 25 8 22 37
"gene_2663" 384 332 312 305 354 309 435 347 583 439 423 353 530 429 185 381 498 379 147 212 257 236 354 253
"gene_2664" 232 201 131 173 150 202 123 103 163 27 52 91 50 77 45 84 65 59 120 153 84 71 115 57
"gene_2665" 23 26 20 59 16 24 40 36 25 48 48 16 15 8 10 17 4 6 4 1 6 0 4 13
"gene_2666" 690 568 636 722 659 727 846 657 421 609 563 606 831 936 758 876 847 671 1070 938 969 974 753 745
"gene_2667" 5226 6756 9024 7275 6163 5527 6156 6316 9334 8887 8575 6517 7104 6177 6586 7224 7520 5864 10772 11421 10465 9344 9820 10988
"gene_2668" 82 82 52 71 100 76 148 147 142 60 76 74 113 98 174 101 56 70 206 191 153 176 156 155
"gene_2669" 5464 5296 4989 5656 5426 6122 1827 1627 2045 1935 1793 1694 1612 1677 1565 1699 1880 1432 2439 2788 2471 2261 2332 2884
"gene_2670" 1309 1308 1347 1262 923 1127 540 778 1410 1155 856 1218 889 1132 1242 1023 803 1130 648 996 740 941 535 707
"gene_2671" 0 0 0 0 0 0 22 59 34 31 23 40 2 1 2 3 2 3 29 37 17 7 10 33
"gene_2672" 674 613 918 1102 540 826 405 432 365 503 399 364 261 361 294 240 207 175 323 438 353 204 288 286
"gene_2673" 3912 4061 4071 3537 3562 3206 3240 4279 3856 3519 3670 4638 5035 5194 4637 4958 5148 5381 2654 3244 3131 3350 2993 2732
"gene_2674" 1957 1848 1255 1584 1743 1759 1050 1283 1813 1524 1555 1447 1136 850 1013 1199 886 1086 2037 1704 1942 1639 2038 1558
"gene_2675" 2 3 7 0 2 7 13 19 12 16 11 7 1 2 3 6 9 1 0 0 0 0 0 0
"gene_2676" 210 273 277 294 243 231 299 345 276 374 400 195 554 626 627 742 427 522 465 514 446 698 777 561
"gene_2677" 2789 3469 2729 3477 4882 3674 3866 3993 3857 3830 4283 3936 2651 3147 3358 3651 3199 2816 3852 3482 3936 3582 4594 4157
"gene_2678" 588 574 492 382 477 378 902 698 909 575 702 614 471 394 446 496 686 522 544 539 419 646 418 558
"gene_2679" 5279 4730 5275 5206 5548 5032 6968 7574 8218 6302 7254 6238 9039 6238 8626 8948 8178 7501 3867 4599 4159 4418 5549 4788
"gene_2680" 1206 1479 1294 1106 1189 1354 1537 1844 1058 1637 1727 1344 1276 1466 1144 1407 1665 1479 2131 1318 1662 1586 1568 1678
"gene_2681" 1575 1901 2511 1829 2295 1988 2415 2119 2281 2632 1818 2859 2450 3279 4030 3256 3479 3284 1442 2009 1126 1525 1480 1525
"gene_2682" 2350 3137 2309 3299 3356 1983 3908 3427 3559 3116 3214 3429 1387 1218 1383 2036 2319 1557 2801 2036 3040 2326 3035 2826
"gene_2683" 17 23 28 41 16 13 10 15 12 14 10 21 20 86 39 78 39 32 12 23 16 40 36 13
"gene_2684" 2037 2643 3250 3302 3030 2688 1464 1504 2227 1699 2353 1761 3763 3418 3622 2809 3160 2906 2866 3021 2788 3076 2868 1881
"gene_2685" 429 292 418 403 546 321 41 43 56 69 47 100 188 114 151 143 175 144 190 179 134 182 166 163
"gene_2686" 1446 1238 1060 898 1254 1532 1513 2527 1946 1989 2180 2284 1571 2038 1349 1448 1229 1111 2620 1768 2343 2104 2616 2203
"gene_2687" 2141 1901 1668 2082 2398 1743 983 796 745 989 989 714 1415 1063 1231 1473 1783 1524 1572 1542 2115 2036 1344 2318
"gene_2688" 725 552 478 494 554 807 928 383 586 654 733 725 824 919 576 1073 852 715 751 648 554 507 413 643
"gene_2689" 380 806 622 458 532 366 424 473 521 471 610 433 662 481 957 786 574 833 405 359 528 472 499 374
"gene_2690" 588 429 376 429 290 538 768 748 860 798 943 879 980 831 1113 956 921 1006 386 429 452 392 452 440
"gene_2691" 0 0 0 0 0 0 8 7 11 3 1 0 0 0 0 0 0 0 4 3 0 0 5 0
"gene_2692" 1574 1300 968 1513 1467 1561 1036 1299 1781 1319 1256 1266 1947 1748 1464 1960 1912 1992 1937 2005 2038 1874 2053 1903
"gene_2693" 87 54 99 106 104 155 113 79 81 102 108 57 96 183 87 124 90 135 211 118 167 160 188 130
"gene_2694" 36 21 21 9 10 13 4 16 0 1 1 7 1 2 7 4 8 8 0 0 0 0 0 0
"gene_2695" 634 849 598 652 1080 558 594 388 478 353 408 420 498 567 315 675 521 441 549 389 434 406 330 259
"gene_2696" 149 114 103 149 158 137 206 219 150 218 201 247 487 328 341 276 494 307 78 67 91 155 113 101
"gene_2697" 365 350 296 251 363 284 469 523 567 546 444 503 330 391 402 389 381 363 211 306 395 400 636 424
"gene_2698" 255 312 250 185 279 131 524 452 437 490 406 584 517 361 328 269 362 421 441 498 402 257 595 426
"gene_2699" 530 762 705 925 1173 787 615 358 189 553 333 422 650 691 636 356 507 936 810 543 443 479 634 483
"gene_2700" 102 212 121 174 176 72 155 153 188 200 256 180 59 71 48 51 51 75 84 121 91 106 107 81
"gene_2701" 8 9 5 13 5 8 37 18 19 27 39 26 5 9 10 5 7 10 75 136 101 62 133 127
"gene_2702" 970 1179 889 1026 1152 1213 713 802 603 835 997 1012 501 701 640 683 676 689 760 857 524 640 706 733
"gene_2703" 559 794 1120 668 754 1138 530 630 297 522 600 709 1796 968 1246 1682 1216 1336 517 660 834 716 724 780
"gene_2704" 841 856 685 1093 773 718 697 1415 997 931 689 1232 272 481 492 425 325 407 646 202 327 667 360 661
