"V1" "V2" "V11" "V12" "V21" "V22" "V31" "V32"
"1739" 458 351 347 417 510 632 368 337
"1740" 208 152 478 812 442 450 237 354
"1741" 50 86 60 65 33 82 229 250
"1742" 1611 1632 1309 1213 2275 1824 975 976
"1743" 21 16 7 8 45 28 42 46
"1744" 1 0 21 59 23 16 2 5
"1745" 2064 2792 3146 2583 3443 3197 2300 2490
"1746" 4366 3640 3388 4698 3664 3441 4738 3776
"1747" 7023 6787 9210 5459 7813 8823 3332 4027
"1748" 1021 1320 1712 1664 1307 1865 2067 1895
"1749" 2001 1836 1573 1393 1475 1302 1826 1142
"1750" 3381 2609 2117 2007 2987 2516 1172 1637
"1751" 1763 1685 845 781 844 439 597 639
"1752" 11334 10959 7809 11105 9732 8526 13663 10927
"1753" 2543 2723 3631 3551 2706 2308 4301 3762
"1754" 1436 1247 1639 1766 1531 1700 1389 2031
"1755" 5708 5610 4637 7751 5262 5336 6261 4171
"1756" 7758 7085 6373 6210 6445 6187 6627 6466
"1757" 293 216 269 287 293 237 348 249
"1758" 948 1075 1286 1475 1686 1667 1453 1229
"1759" 279 233 609 523 645 327 600 582
"1760" 10881 9594 6690 5774 5285 7230 7896 8301
"1761" 7425 7269 6644 6580 6121 6104 9087 5108
"1762" 4168 3924 3455 3213 3442 3485 3092 3265
"1763" 176 214 152 106 175 174 193 184
"1764" 587 1042 1206 1374 722 1256 1195 897
"1765" 582 558 461 241 788 600 502 759
"1766" 3760 3098 3948 4911 4752 5751 5686 5829
"1767" 3061 2127 2126 1522 2665 3667 4099 4531
"1768" 69 43 34 48 10 2 71 46
"1769" 1852 1796 3196 2084 2961 2998 1230 1311
"1770" 90 32 235 130 255 266 452 433
"1771" 1883 2973 4061 2775 2367 2253 2731 3258
"1772" 931 961 754 1122 1136 1171 1096 886
"1773" 11 5 0 8 17 9 26 38
"1774" 117 93 131 88 252 341 58 118
"1775" 728 580 885 974 1150 1061 754 806
"1776" 4313 5081 6577 5927 5453 5103 5501 8752
"1777" 344 283 143 170 305 207 291 177
"1778" 4123 3668 1778 1594 2393 1666 2157 2430
"1779" 1170 1093 1042 769 1039 952 994 670
"1780" 43 16 65 11 67 106 37 108
"1781" 1434 1174 1223 1055 1213 995 823 478
"1782" 118 100 91 129 158 187 26 27
"1783" 2042 1814 1653 1635 2379 2740 2328 1775
"1784" 2370 2555 2094 1708 2379 2146 2089 2014
"1785" 1610 1244 2463 2514 773 1386 2046 1644
"1786" 297 205 83 160 239 208 64 145
"1787" 230 196 573 409 218 139 238 235
"1788" 388 310 584 608 760 795 409 403
"1789" 188 156 151 84 84 206 206 314
"1790" 316 279 571 572 741 692 326 461
"1791" 5002 4183 3562 3800 3911 4092 3412 2211
"1792" 50 61 72 27 70 212 94 110
"1793" 160 111 213 217 224 203 184 151
"1794" 186 150 310 915 583 483 340 218
"1795" 1613 1596 1980 1797 1466 1311 1669 1781
"1796" 1035 944 1314 1522 789 827 1428 882
"1797" 389 199 179 274 288 436 292 311
"1798" 742 785 622 716 1120 817 708 996
"1799" 60 84 0 0 50 60 6 60
"1800" 738 930 622 839 771 695 790 838
"1801" 395 300 637 634 375 356 622 467
"1802" 9267 9335 5066 4572 3161 5871 8241 6661
"1803" 112 52 51 23 21 31 55 15
"1804" 282 140 192 146 122 170 27 72
"1805" 5450 3666 3151 3495 4474 4925 2612 3512
"1806" 2694 1864 2347 2082 1730 1738 970 2056
"1807" 653 909 925 999 1264 1071 703 804
"1808" 0 0 7 6 1 6 9 11
"1809" 19 12 10 3 7 3 19 16
"1810" 364 407 125 133 164 248 145 154
"1811" 2660 3174 2255 2073 903 1067 1449 1294
"1812" 3096 2970 2993 2864 2384 2898 3979 3015
"1813" 64 62 215 140 41 61 39 61
"1814" 10257 5810 6436 7175 6177 7553 6585 6668
"1815" 31 24 23 19 30 32 67 48
"1816" 3637 3472 3434 3927 2858 4068 4091 3197
"1817" 156 214 364 285 93 89 297 491
"1818" 2348 2546 1309 853 1540 2263 1301 1405
"1819" 444 801 268 427 246 207 477 466
"1820" 1616 1735 1927 1541 1673 1394 1579 1162
"1821" 4135 4254 3506 4115 4135 4254 3748 4096
"1822" 942 1470 1219 1109 717 769 1536 1523
"1823" 21 12 0 0 3 0 0 0
"1824" 136 121 215 294 170 209 327 174
"1825" 1040 1603 2329 1667 1211 925 1588 1777
"1826" 3083 3740 1393 1626 3024 3250 3623 3251
"1827" 8034 7450 8817 12170 5254 6753 6568 6045
"1828" 1428 1403 995 939 1238 1858 1291 1112
"1829" 1112 1101 1329 1230 1206 1258 511 671
"1830" 893 1082 1166 1178 904 861 1024 1292
"1831" 532 574 293 377 678 715 774 945
"1832" 225 292 459 336 356 106 320 324
"1833" 10 21 74 42 102 24 53 69
"1834" 1858 2189 976 839 2291 1787 2427 2756
"1835" 5698 5379 4729 5503 5832 5365 5613 6784
"1836" 2583 3847 3046 3245 2793 2724 2726 3220
"1837" 11376 10334 11855 10221 8731 12845 12757 15132
"1838" 27 52 93 82 26 44 6 3
"1839" 1309 1302 867 1242 1311 1744 1965 950
"1840" 2274 2593 3000 3593 2761 2452 2681 2879
"1841" 8 6 1 7 8 16 11 22
"1842" 300 284 356 388 575 504 504 578
"1843" 7703 5619 6083 6924 4349 5196 4483 7567
"1844" 83 42 27 38 39 46 57 70
"1845" 830 999 1150 1234 1464 1692 811 614
"1846" 1920 1343 2419 2238 2640 3325 1759 2051
"1847" 833 684 648 769 428 372 506 881
"1848" 259 304 215 160 124 84 60 50
"1849" 85 117 31 54 31 92 43 108
"1850" 141 199 132 180 146 102 137 272
"1851" 3200 5055 4462 3772 6345 5092 6279 6247
"1852" 250 201 333 128 301 317 65 155
"1853" 4640 3919 4596 5251 3729 4140 3514 2646
"1854" 1237 1091 862 1201 1000 1034 1318 1050
"1855" 453 348 660 480 701 727 579 567
"1856" 2723 2635 2467 2961 2756 4602 2509 2983
"1857" 289 396 556 378 190 399 248 258
"1858" 987 942 541 315 467 857 863 663
"1859" 3520 4359 3439 2513 2363 2571 1361 1628
"1860" 866 755 616 791 757 1041 857 870
"1861" 281 474 537 472 496 654 383 356
"1862" 3156 3371 2787 2992 2287 2801 1675 2345
"1863" 3443 3222 2113 2494 1821 2276 2482 2671
"1864" 69 146 79 85 169 38 49 62
"1865" 37 47 8 14 2 12 24 34
"1866" 169 206 318 213 114 95 248 213
"1867" 1752 1879 2271 2040 2379 1667 2198 2182
"1868" 215 181 192 204 142 149 198 106
"1869" 971 1528 1318 1254 831 1149 627 1014
"1870" 18 21 8 8 64 46 8 2
"1871" 969 932 472 656 1296 1155 1439 806
"1872" 1903 2064 3034 3390 2105 2826 2934 2668
"1873" 949 722 424 518 968 615 1785 1399
"1874" 118 139 185 307 56 111 326 170
"1875" 356 229 805 626 335 442 498 258
"1876" 10 1 100 51 27 69 106 88
"1877" 735 832 481 563 1145 1356 628 609
"1878" 2410 2003 2273 1950 2049 1418 2074 2356
"1879" 1239 1595 2168 1942 2298 2746 2727 2329
"1880" 1909 1746 1345 1115 941 831 799 905
"1881" 102 213 166 173 233 291 278 144
"1882" 198 126 313 351 245 186 205 321
"1883" 5 0 3 1 0 0 0 0
"1884" 209 240 112 229 309 240 335 383
"1885" 52 59 26 16 17 20 109 136
"1886" 386 508 772 352 872 550 637 419
"1887" 34 53 22 51 74 83 111 110
"1888" 2289 2604 2934 3540 3178 2670 3996 2927
"1889" 15939 14124 21006 16938 16348 13815 12596 18231
"1890" 74 65 19 21 34 66 26 21
"1891" 34 30 202 197 43 20 152 191
"1892" 1236 929 1126 1055 987 1239 735 784
"1893" 562 353 722 855 798 904 600 464
"1894" 711 626 1147 986 984 871 1059 1285
"1895" 3662 2557 3652 3290 3466 3602 3670 3414
"1896" 940 806 809 697 897 1033 1044 872
"1897" 613 441 269 343 306 422 242 249
"1898" 3367 3140 1007 1469 1741 2036 2109 1479
"1899" 3806 4573 4766 4027 4039 6164 5701 7339
"1900" 3423 3582 5070 5420 3397 3316 2690 3013
"1901" 11927 12138 11363 6614 9721 9502 8403 8863
"1902" 365 326 664 662 791 759 329 470
"1903" 9677 8572 7015 8619 10330 10763 6022 6741
"1904" 2421 2105 2861 3319 1707 1892 1782 1903
"1905" 648 789 776 858 737 644 602 557
"1906" 87 108 31 27 72 54 30 27
"1907" 310 420 400 482 430 425 437 445
"1908" 1745 1337 1610 1730 1580 1254 953 748
"1909" 776 1143 1072 943 1354 1217 923 881
"1910" 2882 2328 2797 2975 2209 2528 4131 2714
"1911" 321 209 234 260 224 186 337 305
"1912" 10092 7892 6368 6285 6020 5511 8254 9044
"1913" 1081 1382 2444 1810 2231 2507 1799 2166
"1914" 44 59 24 77 166 108 129 63
"1915" 40 60 87 79 18 9 127 196
"1916" 576 484 330 355 586 446 545 614
"1917" 41 52 24 26 127 136 37 31
"1918" 1031 959 373 426 1277 1286 701 771
"1919" 340 304 351 251 266 207 289 292
"1920" 489 578 432 421 674 825 459 475
"1921" 170 145 45 232 288 184 128 72
"1922" 0 0 8 20 178 114 4 7
"1923" 7644 6240 4839 5205 5212 5925 3821 3915
"1924" 994 970 682 1579 745 760 1278 1187
"1925" 3242 3059 1947 2022 3063 3372 2289 2748
"1926" 29 16 0 2 0 0 8 0
"1927" 546 600 832 648 562 605 1268 1142
"1928" 247 276 251 183 394 325 477 574
"1929" 15 30 0 0 28 58 0 0
"1930" 6 5 151 80 0 0 8 9
"1931" 0 3 0 0 36 19 5 4
"1932" 3609 4883 5476 6124 5979 5950 5386 4962
"1933" 8 6 0 0 0 0 2 0
"1934" 2636 3171 3408 3088 2314 2161 2853 2871
"1935" 518 477 1192 1136 348 295 468 383
"1936" 1518 1413 752 674 1713 1550 767 782
"1937" 0 0 7 0 2 11 0 0
"1938" 411 596 562 536 597 458 404 368
"1939" 10346 7263 13502 9759 8549 9806 8207 7994
"1940" 394 339 249 255 210 192 252 215
"1941" 2022 2386 1875 2418 1642 1897 1897 2241
"1942" 2252 1823 2605 2654 2134 1685 1532 1482
"1943" 0 0 50 25 26 2 0 0
"1944" 8537 9819 4886 5514 7293 6898 7231 9679
"1945" 3286 2713 2136 1855 2245 2034 1435 2168
"1946" 157 212 101 59 86 87 191 150
"1947" 4473 3711 4991 3671 8739 6052 4349 4578
"1948" 1586 1125 1916 2371 2096 3053 1858 1776
"1949" 50 42 15 16 42 24 8 4
"1950" 342 325 510 543 349 172 198 530
"1951" 4964 4598 3467 4028 4836 4228 2897 2470
"1952" 197 160 200 266 109 67 171 167
"1953" 418 626 437 948 368 304 979 663
"1954" 206 209 567 511 158 107 193 124
"1955" 347 228 218 285 247 387 191 165
"1956" 14 42 0 0 4 10 32 29
"1957" 15 5 14 4 0 0 0 0
"1958" 4719 4514 5245 5169 7346 7938 9368 10623
"1959" 31 52 88 91 61 58 88 59
"1960" 292 220 104 110 259 290 302 379
"1961" 7931 10286 3746 6693 6537 6504 4641 4675
"1962" 3002 2131 2594 2607 3379 3163 2447 2619
"1963" 101 59 196 153 253 280 226 166
"1964" 525 366 402 307 370 687 570 472
"1965" 57 77 29 25 51 22 38 57
"1966" 10757 12807 8595 10223 8858 9942 13637 15373
"1967" 1271 1277 297 481 445 506 807 718
"1968" 0 0 1 10 16 3 14 0
"1969" 1175 1131 386 374 459 396 312 386
"1970" 83 75 52 27 143 154 49 21
"1971" 55 19 0 0 1 1 53 43
"1972" 2233 2687 3605 3323 3963 4284 2618 3733
"1973" 287 260 193 187 300 289 428 822
"1974" 19 9 22 40 3 11 23 12
"1975" 0 0 26 16 1 13 15 17
"1976" 37 27 8 3 69 84 0 0
"1977" 80 93 63 75 86 88 92 84
"1978" 3408 2810 4337 4541 2799 2987 3953 2733
"1979" 251 231 380 209 268 260 206 238
"1980" 266 294 552 562 569 662 165 358
"1981" 12 6 25 34 28 18 14 20
"1982" 63 69 66 47 16 13 89 54
"1983" 0 0 33 21 0 0 0 0
"1984" 1688 2584 1906 2652 2407 1974 1707 1634
"1985" 3056 2111 2716 2752 3099 2895 4530 4378
"1986" 0 0 0 0 0 1 0 0
"1987" 0 4 32 20 10 41 25 25
"1988" 742 776 469 395 488 414 383 361
"1989" 0 0 18 12 5 0 39 116
"1990" 5070 5639 6042 5089 4249 5059 8865 9107
"1991" 302 235 110 127 223 186 119 156
"1992" 537 448 346 367 353 474 255 239
"1993" 3 13 6 6 6 4 0 2
"1994" 170 178 241 339 173 236 265 220
"1995" 665 715 312 244 366 286 340 304
"1996" 211 179 249 100 254 215 222 238
"1997" 310 418 400 467 268 409 320 304
"1998" 172 123 92 188 174 129 125 67
"1999" 1379 1418 2153 2004 1733 1936 1538 2538
"2000" 1996 2237 1961 1973 1751 1597 1278 1189
"2001" 276 294 327 352 391 261 277 230
"2002" 14371 14000 14629 13685 11238 10550 8384 11536
"2003" 95 82 154 170 70 127 183 132
"2004" 82 75 88 153 145 148 14 33
"2005" 1638 1294 1107 1268 1176 1416 849 718
"2006" 1530 1568 1243 1352 1510 1274 1538 1586
"2007" 399 343 259 166 542 414 129 137
"2008" 1069 1280 604 560 788 533 791 997
"2009" 262 196 79 103 325 177 72 102
"2010" 0 0 6 1 0 0 0 0
"2011" 3055 3391 3198 3166 4303 2684 4752 2834
"2012" 7625 7499 4154 5539 8675 8152 3682 5642
"2013" 832 901 713 796 366 432 533 440
"2014" 9495 15128 15623 20462 12111 13487 15146 13887
"2015" 1999 1733 1183 1575 1697 1542 1062 1092
"2016" 333 307 400 580 584 516 657 730
"2017" 1037 1121 628 835 757 700 763 661
"2018" 105 93 43 34 188 137 93 68
"2019" 2508 2099 3014 2523 2161 1967 1411 1292
"2020" 8 6 8 38 4 6 6 0
"2021" 7 20 21 3 87 60 43 21
"2022" 314 390 488 529 421 344 256 79
"2023" 1511 1532 2072 1152 2314 2076 1213 1058
"2024" 0 0 9 7 0 0 6 2
"2025" 6372 6897 5869 5389 4231 8248 2795 3436
"2026" 1 0 14 9 8 4 0 0
"2027" 82 26 12 33 7 7 56 100
"2028" 0 0 1 8 17 20 0 0
"2029" 467 623 211 317 344 322 312 564
"2030" 1666 1681 1066 1198 1675 1663 1554 1281
"2031" 3057 2102 1681 1852 3152 3343 2609 2017
"2032" 3979 3626 4475 5775 3041 2387 4860 4359
"2033" 88 63 40 55 28 37 213 250
"2034" 123 155 106 86 115 92 301 200
"2035" 1133 1185 1970 1812 504 700 1178 1323
"2036" 1174 777 414 406 677 860 465 365
"2037" 132 101 120 67 148 124 73 34
"2038" 24 14 36 10 49 100 49 54
"2039" 1408 1322 1718 1225 1190 1224 1067 1041
"2040" 193 213 396 285 210 204 238 334
"2041" 1803 1450 804 623 697 1073 903 1092
"2042" 232 263 189 426 370 336 85 205
"2043" 4649 6339 3430 4031 9104 5137 7235 8478
"2044" 57 124 161 78 275 162 294 230
"2045" 0 0 0 0 4 18 4 10
"2046" 190 331 97 106 79 97 45 101
"2047" 5317 6387 3838 6609 4974 7221 4894 4035
"2048" 682 530 594 772 563 782 878 543
"2049" 2633 3228 3079 2878 2827 3168 2271 2741
"2050" 5268 4643 6796 6347 3705 8864 6003 6407
"2051" 195 294 65 85 61 59 252 130
"2052" 178 172 219 238 47 73 101 207
"2053" 6280 5736 3698 4689 4871 4059 5680 6318
"2054" 3425 4019 2937 3211 3702 3254 4970 4569
"2055" 22044 24438 11951 11763 27573 25552 15261 16937
"2056" 436 309 446 435 424 295 164 114
"2057" 83 96 127 74 256 156 39 133
"2058" 5833 5508 4032 4652 4561 3941 4759 4350
"2059" 8631 8025 8485 7812 8321 9290 9049 9159
"2060" 4 10 20 20 3 36 1 7
"2061" 4039 3889 4135 4198 5077 7234 3740 5045
"2062" 1392 1491 1999 2212 2821 2273 2021 2303
"2063" 6820 6808 8188 8171 6270 5027 6730 6761
"2064" 2974 3187 2730 2385 3775 4673 3281 5374
"2065" 2686 1978 3678 2699 2741 2310 3568 2912
"2066" 32 96 110 44 58 52 38 79
"2067" 2218 3180 2299 2556 1738 2113 1780 2886
"2068" 22 14 31 16 6 3 0 0
"2069" 109 65 116 173 64 51 55 57
"2070" 3844 5385 3605 4096 4727 7837 5815 3975
"2071" 941 921 485 522 708 757 837 639
"2072" 2402 1950 2724 2881 1655 2481 2275 2945
"2073" 222 342 529 544 386 393 283 534
"2074" 3131 3891 4349 6559 3712 3464 4403 5959
"2075" 418 415 269 447 509 628 282 168
"2076" 8225 7064 7590 9871 9524 7572 10407 9189
"2077" 132 127 81 82 219 159 55 64
"2078" 1519 1340 2223 1870 1478 1124 1415 1718
"2079" 4503 4264 7477 7919 4714 5266 4278 4173
"2080" 21 2 16 38 12 22 11 19
"2081" 613 614 656 707 598 747 869 1080
"2082" 8 6 9 12 0 0 0 0
"2083" 5892 4614 5589 5214 5549 5263 4611 5078
"2084" 83 244 138 68 120 139 59 59
"2085" 635 611 618 776 858 956 795 564
"2086" 107 131 187 180 132 121 124 193
"2087" 239 253 149 186 317 353 231 324
"2088" 27 18 144 36 281 262 31 39
"2089" 25 16 1 12 2 3 0 0
"2090" 153 222 154 198 182 137 227 353
"2091" 454 915 324 406 461 302 542 433
"2092" 5176 5753 5819 5022 5866 6573 5794 7552
"2093" 5400 3757 3558 3915 3519 4955 5757 6818
"2094" 669 1117 1239 796 1158 980 1067 1188
"2095" 770 702 760 901 571 859 1164 1060
"2096" 1197 1377 634 613 709 1128 1422 1120
"2097" 996 1056 980 1410 1363 1168 1552 1241
"2098" 4900 4485 4783 4257 2957 2998 5779 4745
"2099" 1042 897 2030 996 1464 1316 1106 999
"2100" 200 222 119 165 276 202 102 129
"2101" 0 0 19 0 0 0 28 6
"2102" 4 4 6 1 18 12 5 4
"2103" 5424 4729 4231 5201 7119 7795 6420 4582
"2104" 413 400 550 494 871 863 666 633
"2105" 31 24 7 4 0 0 60 71
"2106" 124 173 106 209 361 511 387 600
"2107" 1069 753 611 784 1396 1383 701 573
"2108" 3716 4061 4005 5539 4569 5482 5379 4799
"2109" 12 4 0 0 0 0 0 0
"2110" 493 390 415 397 485 288 456 524
"2111" 6161 7976 5469 5474 6661 6035 6961 4984
"2112" 1163 1344 1284 1429 1640 1908 624 418
"2113" 1996 2226 4883 3416 636 741 786 738
"2114" 5237 6020 5142 5953 5074 4494 2752 3016
"2115" 2149 2507 2094 2162 2232 2415 3486 1812
"2116" 0 0 12 20 9 9 0 0
"2117" 679 851 625 1136 825 894 642 1145
"2118" 4950 6159 8104 8835 5889 4596 6500 8528
"2119" 378 297 317 269 399 290 398 315
"2120" 4130 3662 7891 7135 3791 3685 5175 4357
"2121" 3104 2292 1779 2215 2228 1813 3334 3462
"2122" 4218 4074 4769 4186 3744 4140 4351 4086
"2123" 334 118 97 89 316 259 178 161
"2124" 70 119 98 142 123 136 92 31
"2125" 1133 1083 1066 840 892 788 585 839
"2126" 4222 4424 3968 3305 5343 4912 4475 5500
"2127" 67 43 61 38 20 39 83 84
"2128" 47 73 27 29 43 42 40 51
"2129" 112 103 134 92 95 89 70 83
"2130" 181 97 101 136 115 76 110 43
"2131" 1646 2016 2093 1682 1754 1608 1894 2333
"2132" 286 415 105 118 239 272 383 265
"2133" 70 62 57 57 8 10 80 72
"2134" 87 79 90 90 96 108 83 111
"2135" 5521 6090 4596 5053 8476 5348 5083 5745
"2136" 5268 5770 9730 8532 7467 6642 8333 8350
"2137" 185 156 35 84 108 136 73 96
"2138" 13 22 31 60 22 78 28 35
"2139" 12450 12055 10484 7337 9135 11229 19269 18881
"2140" 7866 7717 8074 7043 8095 11229 9486 9235
"2141" 206 113 99 151 58 52 50 39
"2142" 3220 2765 3408 3992 3046 3151 4775 3906
"2143" 261 216 392 520 443 427 293 200
"2144" 106 59 25 28 9 21 74 39
"2145" 1 12 0 0 0 11 20 24
"2146" 70 64 20 13 14 35 39 38
"2147" 207 204 445 297 135 65 85 119
"2148" 8544 7539 9742 7933 10068 7970 10950 11609
"2149" 240 469 352 365 301 261 895 784
"2150" 689 893 864 952 728 526 756 627
"2151" 18 19 87 103 32 48 55 36
"2152" 47 81 35 23 34 66 89 102
"2153" 1255 1045 1141 1108 1485 1322 1579 1699
"2154" 73 17 16 3 0 0 0 5
"2155" 415 378 194 161 273 287 237 326
"2156" 4494 4513 4654 5080 4201 2770 4910 4935
"2157" 250 394 314 320 284 310 130 116
"2158" 575 604 590 453 775 1002 973 714
"2159" 1202 862 1455 1747 1230 1154 1721 1742
"2160" 1 0 4 14 2 16 0 0
"2161" 392 601 584 606 267 405 327 392
"2162" 75 37 50 21 9 6 44 45
"2163" 70 107 105 118 36 102 10 35
"2164" 1922 2052 1570 1401 959 1522 1274 1835
"2165" 1563 1870 3049 3022 1911 2267 2163 2005
"2166" 129 102 374 373 460 380 397 333
"2167" 902 893 754 638 537 525 652 620
"2168" 5294 7852 6762 6612 4936 6542 9454 8181
"2169" 3 2 0 0 0 0 2 24
"2170" 904 574 419 543 704 574 556 507
"2171" 1892 2328 2295 2186 1922 1486 2752 2538
"2172" 0 0 0 0 8 12 0 0
"2173" 10 42 91 148 28 28 8 10
"2174" 10 2 19 12 16 46 18 6
"2175" 229 245 357 428 414 368 358 358
"2176" 915 788 357 441 668 666 395 358
"2177" 37 38 27 22 175 162 55 53
"2178" 2206 3085 3235 3089 3964 3547 3071 3333
"2179" 46 68 50 48 19 18 29 14
"2180" 4040 3485 3622 2855 4053 4055 3105 3096
"2181" 1840 1738 1532 1488 1493 1701 1612 2093
"2182" 4025 3036 8978 10920 8202 9479 5367 5532
"2183" 12 6 3 0 0 0 0 0
"2184" 33 35 38 75 73 81 211 138
"2185" 483 306 319 342 454 579 123 266
"2186" 5510 6294 10109 9258 7858 8352 8169 7510
"2187" 1895 1820 2212 1917 2151 1548 2503 2873
"2188" 7157 7608 6571 5837 8952 9368 7194 6711
"2189" 2858 2203 2172 1600 1645 1765 2301 1531
"2190" 1050 829 865 1017 583 610 1519 982
"2191" 3572 3787 3138 3060 3919 3716 3572 4292
"2192" 119 190 175 129 107 96 79 157
"2193" 16 2 77 25 6 24 1 9
"2194" 385 185 520 413 246 240 511 460
"2195" 450 713 256 346 310 184 301 311
"2196" 3763 4270 5587 4475 3139 4829 5430 5821
"2197" 507 963 874 859 878 938 643 1075
"2198" 7703 5643 6501 5377 5452 5372 4978 7331
"2199" 2915 3956 4180 3638 3870 3833 3485 2410
"2200" 255 233 40 57 173 102 246 243
"2201" 3629 3803 3977 3832 3585 2492 6175 5969
"2202" 758 989 1381 1006 961 1412 1081 857
"2203" 977 759 1063 855 1475 2138 1406 1089
"2204" 275 138 286 131 75 94 306 252
"2205" 106 80 50 78 81 39 34 12
"2206" 7671 6758 3953 6774 5266 4214 6968 6804
"2207" 2502 2587 1640 1555 1230 1412 1948 1774
"2208" 1763 2304 1393 1849 2057 1979 2241 2273
"2209" 1731 1407 2385 2062 1811 1621 2165 2354
"2210" 927 847 858 543 501 574 1383 695
"2211" 480 674 724 486 582 858 996 1135
"2212" 2422 2015 1848 1646 1248 1295 2478 3036
"2213" 896 695 1313 1557 789 774 1022 589
"2214" 2550 1708 1687 1866 2640 3410 1280 1208
"2215" 187 140 374 325 404 255 311 352
"2216" 2594 2051 2083 1951 2425 2930 2185 2109
"2217" 596 469 137 296 478 391 219 226
"2218" 50 27 10 25 99 62 5 7
"2219" 1760 1344 1299 1211 808 799 623 777
"2220" 596 654 379 448 738 1027 692 505
"2221" 1178 991 594 714 795 736 877 1168
"2222" 9451 7230 4329 4414 4065 4651 4479 4376
"2223" 10007 9558 9571 9461 9946 12097 6782 6119
"2224" 6946 10566 6804 6542 7916 7252 8521 8344
"2225" 88 68 194 91 67 69 57 83
"2226" 234 183 267 228 123 70 113 199
"2227" 8168 8305 7540 6917 7195 8230 6958 10751
"2228" 196 104 23 48 81 71 26 14
"2229" 19 36 42 148 65 80 50 97
"2230" 5720 6915 4942 6442 3798 4357 3271 3926
"2231" 16991 18124 16573 17096 18023 16251 15152 14355
"2232" 33 41 252 225 86 153 107 76
"2233" 490 618 1055 513 527 575 529 653
"2234" 137 164 126 139 112 108 170 266
"2235" 1237 956 1242 1009 529 753 701 533
"2236" 81 29 156 106 128 24 63 67
"2237" 49 74 12 17 40 26 8 46
"2238" 955 599 1021 1100 1655 1431 1073 1554
"2239" 166 86 233 218 142 357 20 54
"2240" 181 162 349 321 186 156 143 114
"2241" 38 29 46 17 32 16 0 2
"2242" 216 238 323 147 272 177 471 601
"2243" 542 1005 521 565 739 936 1010 1235
"2244" 67 71 89 100 93 121 98 68
"2245" 137 237 702 551 536 284 315 368
"2246" 4573 3179 3468 2462 3186 3152 3284 3966
"2247" 1898 2743 3157 2954 2613 2096 2839 2495
"2248" 412 291 540 351 374 276 488 543
"2249" 4365 4811 2451 2334 5724 6173 4802 5084
"2250" 2281 2036 3588 3919 2280 2297 2495 1893
"2251" 10 3 6 47 58 18 60 41
"2252" 2366 2234 2034 2441 2887 2916 2697 2931
"2253" 753 504 270 338 424 495 271 212
"2254" 12 10 0 0 11 47 0 0
"2255" 34 72 3 6 19 4 31 15
"2256" 934 1208 1788 1541 1083 847 977 1097
"2257" 1022 1099 814 657 1011 933 708 596
"2258" 768 641 906 1791 621 801 655 868
"2259" 88 143 95 68 97 149 97 79
"2260" 51 51 144 175 76 94 95 54
"2261" 5021 5589 4148 4702 6776 6225 5875 5325
"2262" 5487 4016 4255 3973 5250 3565 5304 5393
"2263" 2510 3745 5610 8359 6583 4914 3818 4196
"2264" 119 47 98 71 149 71 154 151
"2265" 281 124 84 71 229 431 329 266
"2266" 1727 1952 1817 1466 1755 1805 2349 2558
"2267" 780 966 1270 1123 1447 1338 1150 1090
"2268" 0 0 0 2 0 0 0 0
"2269" 321 194 355 123 166 277 302 245
"2270" 743 1113 616 706 804 723 884 941
"2271" 296 267 325 404 242 245 261 218
"2272" 1279 978 985 852 1317 1450 901 729
"2273" 2948 3170 2690 2902 3031 3407 2542 2305
"2274" 1708 1123 734 600 1228 1587 1604 2100
"2275" 2871 2707 1421 1303 1689 1564 2925 2513
"2276" 2350 1665 2478 2326 1894 1668 2188 1843
"2277" 1225 1639 989 1349 661 527 983 1052
"2278" 840 899 831 536 823 900 569 1591
"2279" 21 29 66 65 198 53 110 117
"2280" 2 9 163 137 69 42 64 27
"2281" 234 162 50 69 4 12 30 40
"2282" 7772 7734 6654 5776 6689 6852 6849 6417
"2283" 1556 1936 2003 1647 1742 2258 1666 1434
"2284" 26 16 4 29 31 43 28 31
"2285" 1110 1217 956 827 498 418 1289 1094
"2286" 287 385 852 1102 646 716 1059 1341
"2287" 2190 3216 3565 2757 3078 5241 3156 3087
"2288" 10 1 20 31 40 51 10 2
"2289" 742 728 643 655 802 776 511 611
"2290" 143 62 15 26 71 52 50 23
"2291" 77 109 155 85 43 79 65 104
"2292" 1127 1271 1635 1420 1299 1019 1238 1163
"2293" 5143 7331 6631 8014 7272 6461 6219 7073
"2294" 500 448 1631 1571 831 655 582 580
"2295" 239 166 281 192 118 82 102 145
"2296" 77 65 194 133 308 151 95 141
"2297" 174 87 93 58 66 96 34 82
"2298" 7905 7906 8226 5028 7560 7562 8001 7423
"2299" 62 52 95 63 26 85 121 97
"2300" 1703 1917 1180 1641 1584 2040 1750 1581
"2301" 5086 5009 3572 3764 4920 6852 3439 3513
"2302" 10 10 25 32 28 21 16 7
"2303" 363 380 490 394 326 221 618 593
"2304" 72 131 70 146 113 118 125 41
"2305" 3319 4655 4135 5487 6249 5992 3877 3961
"2306" 141 108 187 200 272 168 83 116
"2307" 715 579 590 510 759 816 523 625
"2308" 537 382 333 402 584 422 248 307
"2309" 846 782 1783 1898 778 726 784 365
"2310" 6913 9045 6973 8221 7319 6027 5088 5214
"2311" 317 307 308 308 349 341 110 118
"2312" 165 240 301 370 246 371 194 240
"2313" 4350 3494 3946 4336 3988 3238 2178 2693
