"TP1_1" "TP1_2" "TP1_3" "TP1_4" "TP1_5" "TP2_1" "TP2_2" "TP2_3" "TP2_4" "TP2_5" "TP3_1" "TP3_2" "TP3_3" "TP3_4" "TP3_5" "TP4_1" "TP4_2" "TP4_3" "TP4_4" "TP4_5"
"gene_2450" 1877 1872 2252 2406 2933 2151 2336 1788 2368 2128 1015 1232 852 1236 1122 1565 1318 1927 1902 1722
"gene_2451" 8436 5848 7463 7553 6068 8595 9023 8241 8837 8513 10602 9860 12549 9018 10477 10498 11938 9016 10239 9994
"gene_2452" 595 646 1440 1619 696 642 788 574 860 350 758 633 638 837 397 479 566 386 477 297
"gene_2453" 1509 1677 1557 1378 1661 1757 1637 1142 1435 1090 1568 1741 1779 896 1109 1536 1814 1561 2073 1202
"gene_2454" 0 0 0 0 0 3 5 9 2 12 6 0 0 5 3 0 0 0 0 0
"gene_2455" 1590 1658 1325 1336 958 1394 1088 1129 1298 1396 3071 2671 2623 3287 2614 1232 1531 1387 1552 1077
"gene_2456" 479 436 530 213 555 638 436 449 474 596 401 645 544 393 567 594 472 502 498 498
"gene_2457" 106 100 63 102 133 144 71 91 181 125 271 158 112 117 216 122 64 110 91 62
"gene_2458" 897 1039 1116 1185 1078 569 617 383 482 536 1396 2042 1359 1485 1447 1144 988 1132 1004 808
"gene_2459" 2407 2752 2075 2615 2423 4000 4374 3713 3782 3100 3638 3026 3443 3611 2453 3838 3609 3719 3473 3318
"gene_2460" 945 827 789 493 799 692 717 460 1080 628 750 901 602 628 707 792 597 465 477 497
"gene_2461" 370 134 205 179 138 371 287 201 330 155 529 689 569 264 156 305 215 289 147 429
"gene_2462" 1791 1829 1694 1662 2066 2070 1667 1756 2104 1585 1113 1154 1063 994 1342 1674 1533 1411 1596 1444
"gene_2463" 3358 2102 1798 2445 2127 3073 1881 3458 2339 2579 2945 2794 2209 2478 2442 1112 1330 1214 1186 1329
"gene_2464" 0 0 0 3 2 6 14 0 0 2 4 10 4 2 6 11 5 12 5 7
"gene_2465" 2571 2564 2574 2282 2773 3065 3562 4441 3780 4147 3216 2741 3214 3510 3184 3236 4544 2931 3906 2698
"gene_2466" 73 32 37 54 56 70 117 95 142 149 140 99 149 159 151 4 22 15 7 31
"gene_2467" 70 203 59 44 71 19 55 22 27 21 89 22 66 66 57 32 33 44 77 22
"gene_2468" 676 877 339 778 703 596 556 604 650 504 717 855 974 566 783 1045 638 1100 1026 993
"gene_2469" 2468 2793 2823 2548 2560 2198 1786 2096 2132 2245 2249 2449 2645 2023 2499 2148 2552 2473 2377 1721
"gene_2470" 0 9 3 6 6 0 0 0 0 0 11 3 6 7 4 6 10 6 4 8
"gene_2471" 370 489 410 763 486 435 324 383 263 326 561 511 462 372 611 694 521 291 528 625
"gene_2472" 2411 3695 3639 2083 2405 4545 5303 6096 4485 4866 2919 4423 5349 5146 3298 2936 2319 2995 2558 3249
"gene_2473" 133 89 95 109 74 71 159 156 115 109 85 110 293 162 213 224 267 150 192 333
"gene_2474" 2280 1601 1750 951 1730 1726 1358 1463 1131 1265 2201 2264 2195 2053 2045 689 1157 866 923 889
"gene_2475" 254 186 259 154 149 260 208 202 268 200 180 205 124 231 148 164 248 176 133 233
"gene_2476" 0 0 0 0 0 4 9 12 15 14 0 0 0 0 0 30 46 70 24 20
"gene_2477" 2667 2779 2576 2880 2824 1960 3667 1660 2821 1887 2418 3472 2435 2767 2923 2167 1973 1569 1613 1330
"gene_2478" 1669 1390 1231 1250 1377 1299 1298 1285 1018 1242 1099 1156 1164 1026 1124 1172 1255 725 1081 1317
"gene_2479" 114 195 121 147 91 156 208 224 244 175 200 110 97 72 113 169 130 105 90 96
"gene_2480" 646 809 679 599 692 924 667 618 628 483 582 635 556 759 598 429 708 612 601 480
"gene_2481" 2196 2805 2859 2920 3222 2613 1784 2056 2959 2385 2084 2068 2571 3015 2060 2147 2734 3128 3205 2493
"gene_2482" 1099 1478 1322 1413 1180 1052 1579 1484 1136 1038 1776 1432 1569 1446 1595 1239 1071 1481 1260 1574
"gene_2483" 10 24 18 7 21 30 44 36 48 72 18 16 19 31 11 2 22 24 26 14
"gene_2484" 4712 4355 5280 4555 3300 5232 3247 4928 4019 5410 5991 5295 4492 4648 4269 4058 5562 5563 4882 4714
"gene_2485" 16 14 8 14 4 48 43 50 73 100 50 36 23 49 22 81 94 37 35 42
"gene_2486" 1495 1727 1342 2126 1384 2319 1746 1891 2349 2573 1107 1245 1181 1131 1362 1404 1519 1667 1433 1557
"gene_2487" 3632 2534 3433 4386 3759 3071 4160 3241 4967 3703 6924 5126 4188 4017 5329 3899 3703 3767 4378 3639
"gene_2488" 4586 6501 3779 4236 3093 5769 8423 7231 6987 6365 4576 6139 5446 4441 5291 5234 5246 6352 4922 4247
"gene_2489" 2031 1388 1585 1642 2006 1014 1235 1363 1140 1209 1145 1233 1170 1227 1097 512 543 570 802 444
"gene_2490" 9 0 12 4 1 0 0 0 0 0 0 0 0 0 0 10 4 15 2 3
"gene_2491" 1435 1644 1542 1575 1488 2455 1755 1927 1847 2411 795 1076 828 834 1088 1726 1633 1731 2107 1475
"gene_2492" 11546 11060 11808 10460 10136 9442 8382 10244 6961 8610 6582 8119 5398 7587 6043 10722 7275 8183 6848 10674
"gene_2493" 78 70 61 51 95 160 132 65 110 135 58 77 74 73 47 135 109 180 138 114
"gene_2494" 740 477 710 727 615 1089 1258 1385 1107 1059 958 835 720 991 752 825 792 840 758 563
"gene_2495" 2299 2280 2733 2163 2994 1778 1618 1926 1888 1619 1736 1801 2416 1975 1896 1504 2386 2357 1985 1281
"gene_2496" 3716 3699 3882 4932 3955 2817 2690 2861 2816 3107 2989 2359 3074 2861 3128 3353 3311 2261 2499 3698
"gene_2497" 12 1 0 2 2 2 6 8 10 12 9 2 0 5 1 0 0 0 0 0
"gene_2498" 892 870 913 959 771 1006 1189 1122 1058 1007 839 1091 1190 640 528 1075 737 1031 1017 964
"gene_2499" 1535 1434 1396 1501 1480 1777 1947 1635 1913 1901 2102 2058 2156 2154 1915 2963 3579 2772 2898 3357
"gene_2500" 1408 1463 1541 1468 1340 2150 2717 2429 2477 2635 1111 956 1761 1786 1113 1925 2384 1739 2083 1633
"gene_2501" 3730 4434 3217 4767 3520 3857 3570 4009 2778 3699 3672 3617 3143 3125 3677 3266 3434 3308 3714 3738
"gene_2502" 324 712 622 384 775 928 641 671 571 680 793 459 790 864 713 222 199 332 213 207
"gene_2503" 2549 2919 3214 2474 3085 1746 1322 1231 1188 1578 3690 3513 3286 3475 3947 3375 2040 2093 2874 2125
"gene_2504" 532 613 495 611 465 975 648 1190 1259 946 963 829 1032 705 935 824 1074 806 1049 1091
"gene_2505" 95 154 88 48 98 32 29 37 59 17 90 103 84 100 45 61 38 71 42 40
"gene_2506" 1075 892 1281 992 1242 1010 1168 1003 835 1042 933 852 811 779 882 890 972 812 1061 1184
"gene_2507" 47 106 7 31 85 100 100 85 91 138 171 125 102 79 110 78 81 87 83 74
"gene_2508" 164 154 191 170 81 39 52 25 42 25 81 74 149 117 64 105 57 89 66 60
"gene_2509" 2077 1498 1635 1811 1966 2011 2860 2182 1743 2350 2118 1733 1388 1429 1889 1809 1985 1923 1750 1775
"gene_2510" 1146 1117 453 704 841 542 588 442 512 626 958 1173 793 839 952 947 891 849 971 691
"gene_2511" 7263 9990 9572 7912 6856 8553 11095 8285 8645 9642 6549 7984 8772 7384 8052 6534 9318 7030 8112 7539
"gene_2512" 1194 1590 1150 1181 1422 1031 1136 1039 1231 1217 1145 1458 1002 1125 963 928 1037 917 994 896
"gene_2513" 801 758 787 662 623 512 423 497 246 495 333 703 469 240 450 460 502 425 417 431
"gene_2514" 136 93 131 119 290 134 258 296 213 196 138 167 153 147 206 66 54 98 97 71
"gene_2515" 94 127 100 57 158 230 234 207 196 185 74 52 54 59 55 209 258 308 308 275
"gene_2516" 311 360 339 365 440 366 446 449 261 286 388 478 456 384 441 293 356 317 228 249
"gene_2517" 16 3 4 14 5 16 1 1 3 0 4 16 2 12 6 0 0 0 0 0
"gene_2518" 10 0 2 6 4 0 0 0 0 0 0 0 0 0 0 3 1 0 1 6
"gene_2519" 10 4 14 4 1 0 0 0 0 0 13 28 23 24 20 0 0 0 0 0
"gene_2520" 7456 5436 8691 5677 4809 7238 4400 5890 5922 5781 6373 7024 5387 5919 6679 8200 4927 4836 7895 5989
"gene_2521" 67 93 82 102 160 275 316 303 261 293 98 72 51 78 54 121 176 171 184 150
"gene_2522" 72 140 79 103 124 219 168 205 269 229 116 125 89 99 94 367 274 257 365 287
"gene_2523" 3044 2597 3176 2800 2096 3263 2933 2736 2832 2377 1962 2330 2233 1973 2032 2455 2920 1894 2248 2844
"gene_2524" 2286 2975 3322 3094 4132 4339 5374 4207 4724 4031 5493 5881 5494 6323 5109 4057 4449 4609 5127 3907
"gene_2525" 82 112 87 96 154 11 4 24 21 48 68 66 140 105 61 54 31 63 109 42
"gene_2526" 909 875 652 878 911 308 830 555 612 904 739 796 877 657 859 789 591 660 648 711
"gene_2527" 39 35 29 29 30 120 82 91 81 76 98 76 95 131 66 123 53 39 69 53
"gene_2528" 169 245 233 235 241 66 65 41 67 112 402 482 283 287 375 67 100 102 102 76
"gene_2529" 3222 3553 3623 3662 3668 3528 2473 2345 2855 2474 3192 3125 2406 2835 3606 2136 2187 2157 2063 2284
"gene_2530" 24359 18785 22280 19492 21258 13776 22933 24840 20382 20515 22006 20859 24032 22327 16952 33224 17522 28572 21995 30392
"gene_2531" 295 293 547 520 474 385 511 355 428 439 686 444 303 379 431 542 494 541 524 415
"gene_2532" 1724 1716 1588 1826 1887 1466 1570 976 1585 1532 895 946 1011 917 902 2067 1450 1588 2144 1709
"gene_2533" 642 795 754 701 797 510 369 467 332 390 502 720 717 1026 611 615 499 761 718 1068
"gene_2534" 3744 4340 4046 4309 3249 5327 4488 3994 4791 4389 7591 6296 8404 7966 6162 3718 4443 5133 5143 5356
"gene_2535" 1265 891 1145 1294 1130 853 769 869 1055 835 994 933 798 928 938 779 837 914 899 865
"gene_2536" 6247 8654 7828 6046 9145 7384 7576 7319 5554 6347 9286 8190 7378 9135 8681 7656 7810 7197 8365 6634
"gene_2537" 4489 4849 3050 3855 5133 3000 2232 2989 2474 2379 2423 3362 2072 2644 1510 4508 4578 4124 4674 4083
"gene_2538" 451 329 328 452 281 590 470 507 368 463 202 141 103 161 104 167 433 283 226 322
"gene_2539" 0 0 0 0 0 3 4 1 2 1 10 24 3 11 14 0 7 5 0 1
"gene_2540" 67 172 84 112 140 91 362 276 189 118 125 90 116 128 133 296 429 263 318 281
"gene_2541" 3238 3212 3322 3679 3897 2371 2879 3080 2539 3556 2895 3174 3448 3141 2366 3128 2572 2956 3549 2958
"gene_2542" 16874 24492 24834 29389 24815 22633 23348 23041 28489 20565 30709 27148 30611 35655 27397 33300 34553 32391 32971 30526
"gene_2543" 3173 3023 3372 3471 2934 2842 2520 2069 2214 1955 2791 2174 2596 3007 2607 1659 1483 2205 1563 1862
"gene_2544" 560 632 592 558 683 259 275 214 211 202 684 558 662 1098 830 354 411 357 299 305
"gene_2545" 32 35 14 20 21 42 42 32 37 34 18 47 23 67 25 84 99 110 102 68
"gene_2546" 3620 3227 6891 4003 4717 4297 5785 6338 4679 5191 3412 4014 4466 4025 4275 5467 4855 3758 4072 3263
"gene_2547" 124 102 114 101 225 91 43 45 69 70 164 222 233 337 295 72 58 61 49 46
"gene_2548" 2494 2040 1926 2153 2596 2673 2645 3070 2852 2703 2242 1984 2328 2459 2262 1962 1620 1683 1410 2088
"gene_2549" 1824 2204 2561 2373 2599 2266 1943 1787 2533 1736 2243 1526 2061 1888 2165 2860 3049 2203 2617 3064
"gene_2550" 4839 5222 5586 3876 4509 3274 4030 2814 3859 4009 2396 2470 2044 2606 2770 3698 3606 4062 3876 3633
"gene_2551" 590 530 564 666 507 758 632 457 601 945 789 693 594 695 870 1172 821 714 902 987
"gene_2552" 141 148 190 129 156 84 82 75 96 89 250 326 232 168 164 194 297 261 240 250
"gene_2553" 3 5 0 4 0 0 0 0 0 0 15 5 2 4 4 0 0 0 0 0
"gene_2554" 8693 6790 5833 8767 7312 9027 9776 8103 9111 7662 9092 9308 12474 9786 9196 4727 9367 9023 6663 8956
"gene_2555" 209 292 295 164 200 44 70 97 88 70 160 178 177 104 165 247 125 222 351 284
"gene_2556" 680 672 576 582 507 360 471 455 489 474 571 438 397 692 446 589 756 637 692 725
"gene_2557" 8175 9994 8397 9210 9715 6984 9728 9719 10455 12526 11464 10727 12066 11291 9966 10618 11074 9692 11421 7242
"gene_2558" 170 125 388 206 238 957 607 821 825 959 648 966 932 1047 890 237 164 217 309 460
"gene_2559" 22 42 66 38 18 119 163 150 134 151 72 81 50 64 56 76 311 351 147 214
"gene_2560" 2998 2788 2826 2569 2870 4110 3050 3254 3788 2720 2162 2248 2552 2139 1806 2309 1919 2344 1960 2588
"gene_2561" 90 74 107 68 138 14 31 24 15 33 28 24 24 44 38 22 27 38 29 50
"gene_2562" 29 19 33 41 49 80 72 68 93 63 16 38 24 27 33 56 38 59 82 58
"gene_2563" 1260 1435 1158 1126 1147 1335 872 819 1126 1121 1024 1237 1237 1054 1101 410 1118 538 555 486
"gene_2564" 690 793 572 705 795 666 866 797 711 785 798 834 772 945 1133 1032 1093 973 1067 1052
"gene_2565" 233 304 393 302 290 553 441 496 285 616 249 210 264 198 194 301 310 274 315 329
"gene_2566" 345 469 448 584 336 288 257 311 286 247 423 921 743 991 687 478 533 514 492 691
"gene_2567" 0 0 0 0 0 8 6 0 5 1 10 25 12 3 6 6 4 10 2 11
"gene_2568" 4 0 0 2 4 21 19 10 32 15 42 30 12 17 51 10 1 7 1 11
"gene_2569" 2193 2134 2149 2480 2539 3305 3373 3178 3825 3576 2209 2284 2137 2047 1850 3661 3786 3789 4040 3918
"gene_2570" 3242 2375 2892 2814 3102 2921 2371 2131 2786 2721 2657 3616 3630 2363 2670 3201 2517 2645 2956 3055
"gene_2571" 12 10 22 31 26 19 36 40 14 11 99 68 95 102 73 6 2 10 2 16
"gene_2572" 105 109 189 182 128 100 181 73 142 68 29 35 17 13 19 64 164 155 141 161
"gene_2573" 695 670 569 666 1005 538 396 654 546 715 842 612 802 1005 507 791 1054 879 770 614
"gene_2574" 3627 4565 3876 4182 3639 3371 3303 2730 3184 2843 3123 2252 2727 2773 2513 2531 2377 3106 3785 2815
"gene_2575" 426 619 616 500 824 772 652 641 753 803 445 392 553 416 594 457 483 529 369 338
"gene_2576" 6580 7118 7901 7693 7858 6471 7357 5820 6285 7837 7227 6451 6271 7606 7305 5960 6553 6587 7216 5158
"gene_2577" 19 7 45 18 12 0 0 0 0 0 1 10 8 5 5 0 0 0 0 0
"gene_2578" 161 143 120 201 227 93 70 84 67 106 217 145 270 91 73 169 186 184 229 142
"gene_2579" 2126 2335 2251 2152 2452 3001 2849 2891 2915 3424 2563 2632 2370 2239 1987 1968 2007 2484 2177 2015
"gene_2580" 6156 6386 5502 6582 5973 4528 4559 6029 6172 3680 6433 5501 3823 7495 5233 4640 4709 4916 4727 4976
"gene_2581" 272 311 364 438 328 499 439 371 665 373 193 202 194 232 170 226 189 318 429 228
"gene_2582" 17 5 9 5 2 6 22 1 10 8 8 6 2 11 8 0 0 0 0 0
"gene_2583" 27 22 34 49 32 4 4 2 8 5 2 23 4 10 12 0 0 0 0 0
"gene_2584" 121 155 148 64 127 24 41 26 29 21 72 93 113 74 80 84 153 144 64 109
"gene_2585" 248 176 251 182 300 309 222 427 526 238 598 266 283 315 427 553 467 481 424 464
"gene_2586" 8542 8336 9234 8475 10271 8095 6127 9356 7221 5762 8205 9291 7881 8685 5566 7950 7850 9082 8911 7725
"gene_2587" 4274 4111 4086 4294 4610 3723 3513 3919 3746 3117 2806 2534 3654 3321 3281 2603 2732 2725 2536 3053
"gene_2588" 2469 2796 2628 2609 2272 2765 2890 2534 2990 2559 2340 2940 2447 2097 3064 3086 3025 2777 3105 3642
"gene_2589" 5918 6551 5031 5081 4339 8267 6277 7260 7187 5008 6876 7186 8567 7141 7162 7538 5072 7157 6979 9952
"gene_2590" 158 115 95 158 109 323 364 295 333 265 114 91 64 144 120 143 147 143 65 126
"gene_2591" 48 9 20 34 29 60 38 14 27 15 44 59 39 47 22 14 36 24 43 24
"gene_2592" 910 937 1004 979 808 967 1273 992 1319 1026 781 1039 661 683 862 604 1145 1040 1322 1188
"gene_2593" 62 32 40 97 31 91 68 79 99 64 170 145 202 132 92 91 65 122 94 87
"gene_2594" 1565 1059 1752 1380 1816 588 1384 1335 1164 991 1727 1535 1502 1721 1920 2575 2002 2130 1969 2193
"gene_2595" 994 1165 1341 1011 1385 703 849 875 857 941 984 996 1211 1035 1090 1028 927 1386 782 1207
"gene_2596" 384 244 196 189 540 315 261 444 342 327 383 315 202 516 436 180 176 161 134 110
"gene_2597" 283 426 405 344 294 511 366 339 426 311 435 512 241 312 368 505 365 246 223 364
"gene_2598" 708 587 961 685 705 1076 1063 1003 1181 1645 1944 990 974 1529 1695 832 878 1456 659 887
"gene_2599" 2152 4523 2937 2141 3182 2001 2302 1733 1642 2453 4329 4971 4839 4258 3946 4874 4818 3313 2368 3984
"gene_2600" 12549 11910 11465 9212 13395 7982 8073 9734 7490 7055 6985 6430 9773 7113 6857 9708 8804 11136 11368 8665
"gene_2601" 2347 1903 2302 1948 2035 3675 3597 2368 3094 3056 6162 4717 5618 4817 4382 10513 7817 6411 7227 6610
"gene_2602" 43 18 29 60 41 26 48 54 109 61 49 20 15 58 21 24 33 23 35 13
"gene_2603" 52 70 45 74 19 106 81 113 131 100 30 14 19 29 11 61 59 52 67 47
"gene_2604" 316 267 195 82 295 130 128 277 136 188 166 159 226 266 214 93 44 36 129 68
"gene_2605" 3648 3539 4802 4537 4794 4704 5547 5238 4079 3648 6657 5122 5160 7441 5729 4554 3656 4387 3870 4016
"gene_2606" 6934 7950 6749 8103 6643 5164 7088 5347 6801 5045 6089 6585 7494 4950 7439 7108 6643 6168 6848 6996
"gene_2607" 530 452 579 628 764 537 664 531 411 639 646 796 679 685 641 1217 957 1458 953 1052
"gene_2608" 82 93 109 103 93 157 112 165 202 186 160 194 236 167 254 111 193 191 118 120
"gene_2609" 67 100 222 109 131 105 115 99 143 204 61 94 147 120 67 202 129 113 180 66
"gene_2610" 0 0 0 0 0 1 2 0 1 1 6 16 19 27 13 0 3 5 8 0
"gene_2611" 3261 4611 5867 5283 4935 2843 3118 3198 2848 2952 4437 3186 4021 3888 4208 2558 2954 2834 3107 2666
"gene_2612" 388 351 350 299 375 478 465 591 582 441 161 265 214 238 173 429 378 364 572 433
"gene_2613" 779 1293 834 1060 695 1157 1350 1026 1212 935 1131 1105 1109 1544 906 818 331 316 436 659
"gene_2614" 517 470 453 392 386 812 716 823 835 946 623 620 516 426 479 485 335 746 560 381
"gene_2615" 5454 4257 5652 6503 5242 5169 5390 5210 4752 4962 3832 3981 3700 3506 4372 4545 3380 3756 3867 4091
"gene_2616" 2517 2489 2778 2779 2559 2109 1881 2337 2094 2595 2100 2821 2579 2712 2381 1545 2601 2180 1660 3070
"gene_2617" 1181 1081 1148 938 1115 1047 2351 1396 1459 2070 1179 616 487 1130 1312 1275 1568 1269 2081 1645
"gene_2618" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 1 3 5
"gene_2619" 18 21 7 19 26 35 45 60 78 40 94 103 100 75 67 30 40 39 26 68
"gene_2620" 508 509 950 643 500 660 705 455 511 605 504 750 602 825 574 693 775 603 756 1022
"gene_2621" 2748 3226 3179 3817 2514 2333 2000 1675 1850 2086 1573 2261 2399 2543 2246 2560 1998 2011 3000 1761
"gene_2622" 1651 1475 1713 1471 1239 1476 1190 1759 1359 1345 2401 2802 3054 3092 2978 1161 883 1269 1268 1007
"gene_2623" 98 123 102 124 76 181 96 151 128 92 68 30 82 32 74 36 15 23 63 89
"gene_2624" 249 322 310 408 378 218 204 238 160 187 181 184 220 270 150 312 322 302 366 336
"gene_2625" 697 1096 641 833 878 434 201 198 218 171 900 693 893 537 811 761 590 559 753 579
"gene_2626" 8772 8962 9045 9392 8558 10960 9169 12192 11927 14335 11368 13556 11836 10517 11325 9232 10522 7948 10719 8700
"gene_2627" 2118 1827 1762 1377 2064 2012 1910 1874 1454 2172 1487 1888 1670 1644 2095 1594 1554 1732 1718 1687
"gene_2628" 1296 1054 1556 1427 1093 1345 1457 1059 1718 1181 1668 1183 1739 1178 911 1601 1677 1559 1388 1318
"gene_2629" 1853 2386 2550 2309 2657 1304 1202 1451 1377 997 1308 1344 1360 1752 1426 2119 2083 1800 1954 2120
"gene_2630" 5718 5271 5165 6712 4084 3807 4019 4084 3304 3904 5046 6582 5605 6238 6868 5530 4642 4772 4796 5080
"gene_2631" 254 405 244 115 189 329 457 484 430 292 266 279 228 230 296 200 235 260 246 140
"gene_2632" 2040 2664 2381 1776 1475 2530 3559 2729 3397 2932 4116 2940 2945 2585 2795 3819 4923 5203 4069 3222
"gene_2633" 1772 1707 1876 1906 1831 1422 1598 1468 1487 1542 1201 803 1215 1083 878 1720 1762 1494 1781 1598
"gene_2634" 957 1000 984 1060 1060 861 1008 728 743 699 1610 1970 1841 1462 1391 1217 1185 1255 977 1021
"gene_2635" 1913 1220 1064 1158 1148 1029 965 1151 859 1101 792 1158 1191 1205 1261 1547 1416 1870 1478 2169
"gene_2636" 96 63 69 72 112 150 97 77 86 78 34 23 25 44 71 70 92 179 124 75
"gene_2637" 15 0 12 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"gene_2638" 67 115 34 85 96 172 173 248 169 129 161 214 119 210 111 78 29 72 90 68
"gene_2639" 1888 2402 2502 2169 2490 3667 1396 2899 2354 2556 2504 2610 2545 2781 3470 2167 2601 2331 2696 2545
"gene_2640" 1876 1598 1357 1397 1465 1180 1065 1063 1131 1023 866 1166 762 649 767 604 579 581 625 815
"gene_2641" 320 506 306 248 302 359 444 382 274 453 235 150 156 185 167 345 388 499 425 312
"gene_2642" 229 184 300 239 200 233 171 229 161 184 301 161 263 182 242 337 295 189 235 322
"gene_2643" 277 225 332 322 267 425 277 288 214 458 329 264 431 136 462 269 246 498 292 546
"gene_2644" 2756 2717 3707 2668 2319 3279 2700 3587 3379 3714 2237 2319 2360 3234 3421 2082 1984 1978 2257 1714
"gene_2645" 29 25 16 11 18 0 0 0 0 0 0 0 0 0 0 1 1 0 1 9
"gene_2646" 15694 12401 13563 10676 13527 16767 16846 15535 16148 15501 10992 10847 11226 12662 10512 14546 13824 12537 15726 10266
"gene_2647" 735 633 445 416 319 611 446 840 655 611 290 615 578 799 525 400 561 628 404 369
"gene_2648" 2994 3081 2489 2783 3937 3730 4615 3812 3472 3620 4297 3639 4469 4786 3501 2867 3507 3486 2781 3657
"gene_2649" 18 39 59 26 61 9 12 19 18 38 37 31 45 43 55 17 14 47 20 23
"gene_2650" 1552 1698 1184 1021 1212 1558 1795 1694 1543 1440 1558 1395 1769 1702 1446 1029 1483 1154 1171 1109
"gene_2651" 200 205 180 116 199 218 357 154 159 337 405 392 212 324 227 449 435 296 223 404
"gene_2652" 0 0 0 0 0 3 1 0 3 4 28 45 29 56 23 0 2 16 8 8
"gene_2653" 1103 1047 1029 1239 1112 448 684 548 555 692 1232 1249 1297 1292 1060 1162 1129 1108 1208 934
"gene_2654" 8 4 6 14 7 5 0 1 0 3 8 6 16 10 17 0 0 0 0 0
"gene_2655" 357 382 293 274 227 441 388 451 418 438 556 766 565 637 613 976 969 802 636 566
"gene_2656" 1191 2117 1785 1669 2265 836 1349 1641 1411 1318 1042 1175 1043 1230 1329 1309 1455 1495 2234 1338
"gene_2657" 327 411 534 643 450 620 397 505 349 422 647 519 434 341 472 382 577 513 601 455
"gene_2658" 1636 1283 1222 1210 1505 755 906 758 923 870 631 713 837 772 884 680 914 825 918 870
"gene_2659" 563 420 483 487 447 1139 1394 1034 1241 663 1121 786 1231 1312 1281 1426 1592 2189 1461 2043
"gene_2660" 3857 3564 4392 3905 4197 3228 4070 3866 2832 3830 3923 4103 4684 3963 5213 3217 3907 3743 3478 3263
"gene_2661" 1481 1236 989 963 1242 1097 1052 1015 1044 878 1646 1509 1796 1623 1642 1043 1430 1103 1420 1178
"gene_2662" 11215 10024 10225 9754 12877 8568 9244 9668 8331 10656 12492 10505 10471 9495 9428 9383 8154 9230 8234 9482
"gene_2663" 3594 3452 3050 3404 2126 3066 2614 3120 3107 2112 2051 3393 2992 2912 3301 2932 2268 2473 2494 2336
"gene_2664" 2409 2214 2453 2325 2712 4168 2189 3209 2689 3096 2119 1557 2118 1842 2126 1592 1334 1768 1641 1729
"gene_2665" 2508 3157 3000 2969 3034 3010 3970 4238 3809 4582 2568 4204 3329 2562 5232 4135 4011 4154 4656 4209
"gene_2666" 54 66 110 62 65 10 36 18 15 27 12 1 26 7 2 22 96 148 44 45
"gene_2667" 2362 1674 1866 1750 1893 2234 2239 2086 2297 1717 3118 2686 2927 3303 2178 2132 2269 2502 2262 2946
"gene_2668" 1620 1623 1537 1329 1445 752 1863 1135 966 805 1561 1601 1886 1589 1501 1183 1363 1245 1200 1350
"gene_2669" 1469 1479 1566 1296 1810 1891 1116 1245 1565 1216 1790 1472 1515 1397 2177 1119 1327 898 1157 1366
"gene_2670" 228 137 94 120 155 122 141 85 154 133 178 93 160 96 134 28 23 38 73 89
"gene_2671" 2167 2048 2570 2392 2230 2487 2756 2562 2317 3027 2023 2010 2083 1764 1867 2683 2690 2612 2288 3126
"gene_2672" 1277 1246 993 1269 1065 794 495 491 612 560 591 671 518 632 507 793 710 546 647 699
"gene_2673" 933 1037 1477 1427 1049 793 819 670 983 761 1290 1309 1024 1291 1479 868 909 868 910 969
"gene_2674" 882 825 967 1030 994 1042 1257 869 809 1023 1812 835 1028 1229 1080 811 1183 1081 872 1033
"gene_2675" 867 619 907 554 444 1001 567 611 851 594 459 419 443 477 453 350 323 582 363 502
"gene_2676" 11 2 12 13 26 51 29 50 11 51 29 19 96 27 50 66 69 33 56 22
"gene_2677" 3002 3465 3138 3618 3957 4405 3607 4293 4016 4186 2081 2489 3184 2352 2676 3187 2817 2713 2797 2957
"gene_2678" 178 217 101 225 237 110 126 231 139 133 203 158 206 384 369 163 198 245 253 319
"gene_2679" 4763 7020 5345 4742 5883 5677 5418 6137 5561 9745 4523 6306 4840 4241 4791 6267 5835 4758 7444 5885
"gene_2680" 48 58 67 47 36 166 166 236 189 113 111 204 112 174 148 120 182 126 166 176
"gene_2681" 3345 3762 3600 4281 3760 1707 1862 1739 1917 1911 1480 1425 1223 1744 1567 2279 2173 2148 2024 2636
"gene_2682" 742 581 697 775 712 874 669 740 563 434 570 594 281 456 560 925 1076 1475 1213 1363
"gene_2683" 187 77 104 110 150 172 183 115 146 56 118 65 91 85 151 61 57 30 77 43
"gene_2684" 376 253 260 402 328 539 347 565 418 384 474 652 399 650 373 447 510 277 388 612
"gene_2685" 4705 4489 5433 4445 3935 4454 5567 4743 5091 3850 2569 3432 2985 2589 4230 6046 4656 6720 3677 5063
"gene_2686" 6442 6128 5351 6596 5652 6249 5776 6411 6844 5332 7420 6096 5801 6281 7457 3826 9535 4672 7954 5176
"gene_2687" 268 271 342 200 211 329 372 450 394 319 633 613 398 430 487 309 122 288 253 159
"gene_2688" 113 155 169 103 124 108 113 180 192 247 157 178 69 118 104 93 162 145 109 216
"gene_2689" 1203 1532 1532 1503 1553 2232 1799 1833 1721 1779 1873 1312 1447 1465 1682 1443 1635 1699 1585 1277
"gene_2690" 1951 2363 1914 3121 3146 3170 2858 2368 1770 2527 1497 2040 1581 2400 2437 2355 2868 2768 1673 2569
"gene_2691" 34 35 14 49 48 56 16 46 26 26 48 17 23 19 27 14 18 4 18 4
