"TP1_1" "TP1_2" "TP2_1" "TP2_2" "TP3_1" "TP3_2" "TP4_1" "TP4_2"
"gene_4851" 1181 1233 1223 1236 658 465 989 755
"gene_4852" 22 22 12 26 0 0 10 6
"gene_4853" 116 87 60 76 159 126 101 122
"gene_4854" 444 360 394 422 748 548 565 576
"gene_4855" 8 7 11 18 5 9 5 6
"gene_4856" 3786 3270 5694 4937 4485 5743 4453 3933
"gene_4857" 1 0 0 5 0 0 0 0
"gene_4858" 1750 2514 1784 2037 1511 1816 2140 3425
"gene_4859" 483 361 1089 558 657 552 1510 1349
"gene_4860" 2 1 3 6 0 0 7 3
"gene_4861" 4730 6050 2955 3841 4946 4648 5376 5904
"gene_4862" 472 715 1059 1327 790 999 1182 1221
"gene_4863" 198 97 117 104 33 23 158 201
"gene_4864" 235 294 289 260 142 112 162 288
"gene_4865" 6039 5286 6811 5255 5093 6079 5537 7791
"gene_4866" 0 0 10 0 0 0 6 1
"gene_4867" 0 0 0 0 0 0 3 3
"gene_4868" 112 124 38 45 35 50 4 7
"gene_4869" 35 29 5 12 109 90 99 72
"gene_4870" 2086 1480 1210 1116 2207 1985 2368 2523
"gene_4871" 1809 2341 2372 2582 1454 2716 2297 2717
"gene_4872" 1341 929 515 488 500 539 1009 719
"gene_4873" 2159 1834 2047 2166 1895 2157 1840 1639
"gene_4874" 14 24 82 56 51 44 71 65
"gene_4875" 110 24 128 180 67 61 168 166
"gene_4876" 32 50 48 22 56 79 24 24
"gene_4877" 718 1176 552 753 300 398 761 529
"gene_4878" 1710 1187 1660 2067 1408 1366 1816 2343
"gene_4879" 53 47 106 43 47 109 130 49
"gene_4880" 167 173 151 264 601 613 99 96
"gene_4881" 0 0 10 10 13 12 2 6
"gene_4882" 1875 2131 1797 1881 2154 2841 1769 2207
"gene_4883" 268 308 433 736 492 513 261 154
"gene_4884" 9 13 79 48 91 45 34 12
"gene_4885" 517 455 420 331 313 509 427 405
"gene_4886" 519 512 1108 766 1105 987 1276 1052
"gene_4887" 1183 984 554 830 819 941 823 777
"gene_4888" 5984 4669 6851 7005 5155 4526 5663 6609
"gene_4889" 11197 10858 11504 9308 6853 8884 9155 9854
"gene_4890" 1724 1930 1488 1985 1594 1575 1881 2210
"gene_4891" 23 14 25 54 31 59 54 53
"gene_4892" 135 162 66 191 125 186 91 91
"gene_4893" 166 218 213 282 195 166 236 354
"gene_4894" 742 680 357 598 815 1167 489 472
"gene_4895" 125 82 159 171 133 208 36 41
"gene_4896" 520 613 1407 1304 986 975 550 1016
"gene_4897" 3748 3061 3417 4013 2922 3380 2146 2555
"gene_4898" 7205 8486 6655 8912 7842 7447 4565 5314
"gene_4899" 53 141 137 256 18 23 84 62
"gene_4900" 20 18 134 144 21 13 89 84
"gene_4901" 9402 7117 5384 7733 5296 7106 7869 8149
"gene_4902" 2830 3944 2270 2183 2051 1786 2208 1581
"gene_4903" 38 16 27 21 56 122 85 83
"gene_4904" 4400 6002 4923 5343 4165 4615 5769 4069
"gene_4905" 1855 1757 2016 2192 2969 3053 2502 2688
"gene_4906" 317 255 278 610 432 165 263 329
"gene_4907" 357 422 461 376 283 288 120 129
"gene_4908" 1458 1536 1831 1398 1217 1404 1803 1223
"gene_4909" 80 121 48 30 10 22 0 6
"gene_4910" 2928 2374 2591 1940 3236 4998 4052 3151
"gene_4911" 15 10 0 0 19 31 4 9
"gene_4912" 1021 1164 984 921 1044 1031 588 1031
"gene_4913" 139 95 145 186 349 220 328 165
"gene_4914" 1557 1602 560 855 1093 779 391 550
"gene_4915" 5913 7149 5473 6412 6627 3733 6089 5534
"gene_4916" 778 894 773 828 987 882 396 692
"gene_4917" 2299 2327 985 1268 2185 1819 2595 2436
"gene_4918" 5171 6603 5018 5180 6533 5887 5305 4728
"gene_4919" 556 550 307 321 463 304 532 287
"gene_4920" 11 5 12 2 4 3 3 4
"gene_4921" 5856 5295 3332 3626 5623 4653 6013 4623
"gene_4922" 2783 2761 3253 3082 3215 2474 2785 2667
"gene_4923" 63 118 73 79 88 102 86 110
"gene_4924" 250 251 89 82 242 202 128 246
"gene_4925" 497 417 374 374 307 526 173 421
"gene_4926" 1115 810 965 983 1555 1346 1689 1113
"gene_4927" 695 557 582 326 353 634 499 539
"gene_4928" 362 331 502 506 752 569 558 1131
"gene_4929" 19 35 35 112 29 34 27 22
"gene_4930" 1107 1308 1094 1012 2244 1906 715 665
"gene_4931" 16 12 27 12 38 29 2 14
"gene_4932" 31 35 103 62 57 63 34 29
"gene_4933" 7 23 47 29 29 11 23 9
"gene_4934" 1310 2064 1429 1493 1088 1105 1266 1018
"gene_4935" 807 669 563 664 810 873 900 918
"gene_4936" 572 732 1334 1024 909 856 1225 836
"gene_4937" 681 538 444 600 686 864 763 985
"gene_4938" 3564 3769 4291 4233 3892 3969 3465 2806
"gene_4939" 419 262 626 317 626 471 769 703
"gene_4940" 1465 1228 1076 848 1851 1876 1051 756
"gene_4941" 20 22 6 15 20 13 50 43
"gene_4942" 5691 8666 8210 8198 9314 10110 5355 4963
"gene_4943" 1378 1172 1342 1538 1528 2360 1578 1735
"gene_4944" 182 251 21 79 112 92 371 249
"gene_4945" 788 912 1087 711 740 685 784 733
"gene_4946" 3883 4327 3003 3755 3002 3784 2908 4400
"gene_4947" 176 90 35 39 60 34 98 85
"gene_4948" 5223 5254 3835 2870 4814 6464 3342 5052
"gene_4949" 1386 1200 1535 1601 690 784 1196 997
"gene_4950" 1922 1767 2579 4211 1602 1902 1516 1338
"gene_4951" 452 671 631 709 399 642 353 580
"gene_4952" 2684 2380 1726 1530 2839 2759 2661 2316
"gene_4953" 984 1191 1646 1941 1554 1806 1839 1962
"gene_4954" 11634 7134 10421 9842 7711 6675 10117 8789
"gene_4955" 201 165 55 88 159 226 95 96
"gene_4956" 8321 11191 6844 7195 9901 7796 6113 6064
"gene_4957" 10 17 2 3 18 6 3 13
"gene_4958" 3 0 0 0 2 1 0 0
"gene_4959" 6074 4860 6518 5518 5985 6600 4703 4149
"gene_4960" 312 469 513 399 802 539 933 843
"gene_4961" 19 23 26 34 12 23 2 5
"gene_4962" 6654 6092 9133 9448 10999 12452 9734 11228
"gene_4963" 20 81 61 25 155 105 34 29
"gene_4964" 417 501 561 657 620 583 431 447
"gene_4965" 43 27 223 299 235 161 59 85
"gene_4966" 2624 2559 1827 1652 2202 2550 2084 2346
"gene_4967" 3455 3134 3931 3451 6009 4991 2112 2556
"gene_4968" 186 333 18 91 173 112 20 23
"gene_4969" 1230 1084 1798 2010 915 1153 564 671
"gene_4970" 33 60 24 20 49 40 59 96
"gene_4971" 5 8 0 0 0 0 5 1
"gene_4972" 252 486 283 291 358 309 159 164
"gene_4973" 3222 2939 1626 1901 1195 2558 2863 2441
"gene_4974" 5396 4358 4578 4482 3622 4001 5295 5375
"gene_4975" 131 394 438 395 387 482 189 336
"gene_4976" 2013 1921 1510 1679 1233 902 1954 1903
"gene_4977" 22 17 2 6 34 37 22 11
"gene_4978" 0 0 4 8 18 6 18 32
"gene_4979" 0 0 2 0 21 43 8 22
"gene_4980" 8469 7758 5230 5002 6767 7724 4691 4534
"gene_4981" 1282 1509 450 669 718 783 847 733
"gene_4982" 713 795 1066 868 1497 1207 631 737
"gene_4983" 1386 1326 1042 1297 1467 1348 1310 1430
"gene_4984" 2138 1818 2941 4324 3896 3340 3642 3109
"gene_4985" 3646 3862 4340 4971 2569 2238 2901 2596
"gene_4986" 89 170 117 117 154 130 369 232
"gene_4987" 2073 2080 3795 2619 3323 2679 1721 3172
"gene_4988" 2917 2112 3997 3423 5285 4955 5267 5857
"gene_4989" 1839 1732 1242 1008 955 1573 1742 1717
"gene_4990" 5129 4249 3531 3779 1849 1523 1779 1724
"gene_4991" 813 513 998 1248 766 410 1010 932
"gene_4992" 5449 4565 5075 5768 3914 5133 4525 4341
"gene_4993" 22 0 10 4 8 12 19 25
"gene_4994" 148 191 210 269 235 170 178 227
"gene_4995" 170 224 336 326 151 284 292 282
"gene_4996" 2752 2609 2645 2340 2477 2870 2351 2129
"gene_4997" 48 39 40 31 20 4 28 46
"gene_4998" 3198 2544 4036 4548 2853 2968 2470 2488
"gene_4999" 889 1029 630 422 266 480 504 436
"gene_5000" 321 138 251 166 262 331 265 350
"gene_5001" 1140 1080 965 1309 1402 1807 649 827
"gene_5002" 2957 2519 2865 4561 2604 3601 1560 2152
"gene_5003" 421 289 237 287 472 354 203 462
"gene_5004" 0 0 0 0 9 5 2 1
"gene_5005" 47 41 27 34 48 53 47 110
"gene_5006" 454 471 599 658 373 488 473 522
"gene_5007" 96 78 22 14 34 37 300 272
"gene_5008" 474 367 173 170 462 507 154 150
"gene_5009" 35 58 54 81 12 37 8 8
"gene_5010" 12 6 37 68 50 102 142 179
"gene_5011" 5216 5984 4274 4493 4916 6123 5613 4128
"gene_5012" 3790 3601 4065 4190 3921 4860 3713 3525
"gene_5013" 9814 8103 8404 7140 10686 7677 8911 10346
"gene_5014" 12 6 10 6 7 7 34 48
"gene_5015" 4039 2914 3650 3745 3514 3885 3787 3492
"gene_5016" 3451 3072 3618 3865 3268 3067 4597 3382
"gene_5017" 1198 1188 1539 2036 3381 3986 1701 2267
"gene_5018" 269 198 94 88 241 225 185 245
"gene_5019" 4135 3236 3909 3619 4173 4030 4294 4089
"gene_5020" 1642 1430 1520 1113 1902 1922 1780 1916
"gene_5021" 0 0 0 0 2 3 0 2
"gene_5022" 2450 3172 2996 2840 1622 2340 1041 897
"gene_5023" 443 678 338 578 351 622 438 508
"gene_5024" 2021 2272 4286 3599 2562 2685 4414 4478
"gene_5025" 2992 2846 2504 2330 1540 2075 2039 1600
"gene_5026" 3986 4130 4333 3190 2248 2324 2890 2843
"gene_5027" 249 100 79 183 42 37 126 132
"gene_5028" 3091 3005 4901 4647 6028 4023 3262 3406
"gene_5029" 5865 6191 7823 5293 5908 6328 6755 6646
"gene_5030" 3046 2913 2623 2488 2529 2397 1702 2190
"gene_5031" 181 146 305 235 164 173 361 485
"gene_5032" 1 3 1 3 0 0 0 0
"gene_5033" 1966 2314 2079 3835 2901 2917 3929 3780
"gene_5034" 1221 1038 509 995 852 766 1064 780
"gene_5035" 3695 3667 3609 4690 1883 2165 4119 3119
"gene_5036" 779 378 722 498 561 451 379 303
"gene_5037" 209 271 499 485 232 211 190 442
"gene_5038" 193 167 154 210 605 423 184 236
"gene_5039" 5156 5023 5243 4333 5288 6601 4874 4340
"gene_5040" 2501 3228 1958 1715 2422 2878 1892 1725
"gene_5041" 30 36 38 30 101 27 13 39
"gene_5042" 11 16 3 24 33 16 15 30
"gene_5043" 6096 5260 4813 6293 6113 5728 6420 5817
"gene_5044" 868 796 1877 1513 1650 1762 1292 1240
"gene_5045" 591 265 459 726 707 473 428 360
"gene_5046" 79 39 37 41 99 75 5 15
"gene_5047" 5114 5380 7277 5915 3627 3292 5099 5119
"gene_5048" 2154 2090 1924 1609 1656 1513 1267 1272
"gene_5049" 287 217 242 291 69 60 293 251
"gene_5050" 2012 1971 1359 1305 1891 1856 1632 1590
"gene_5051" 10008 11944 9508 18042 8360 11686 6911 9957
"gene_5052" 200 214 94 84 239 257 302 277
"gene_5053" 6263 4489 6375 9237 6879 6182 3853 4597
"gene_5054" 324 279 606 262 495 484 497 446
"gene_5055" 0 1 0 0 7 13 2 12
"gene_5056" 2822 3020 3444 3786 7868 5968 5375 5247
"gene_5057" 190 142 52 25 61 122 85 62
"gene_5058" 3474 3388 2936 2621 4385 4149 2325 2604
"gene_5059" 96 58 10 30 21 13 24 9
"gene_5060" 16 7 0 0 7 14 0 0
"gene_5061" 1255 1248 714 600 1563 1323 911 797
"gene_5062" 256 477 411 503 127 290 612 480
"gene_5063" 1931 2074 1351 1709 1512 1416 2122 1967
"gene_5064" 1436 1617 635 940 561 664 1008 1283
"gene_5065" 77 129 294 290 146 82 554 445
"gene_5066" 1291 760 1303 1578 768 757 473 499
"gene_5067" 9 8 9 6 0 0 43 106
"gene_5068" 1246 1436 1378 2433 1688 2006 952 1112
"gene_5069" 87 76 93 51 110 123 52 54
"gene_5070" 2124 2149 2380 1849 2106 1669 2387 2679
"gene_5071" 344 99 407 345 231 215 417 388
"gene_5072" 3514 4672 2211 2351 2856 2363 3092 2070
"gene_5073" 254 307 278 203 412 486 596 549
"gene_5074" 4479 3604 4723 4673 3932 4085 4916 4352
"gene_5075" 1763 1795 986 1393 1082 1062 1364 1338
"gene_5076" 476 514 511 416 267 399 691 682
"gene_5077" 60 83 38 22 9 15 84 77
"gene_5078" 2859 2449 2284 2140 2843 2441 2305 2293
"gene_5079" 2681 3199 2202 1819 2569 1720 1850 1204
"gene_5080" 1558 1287 1121 1213 1030 1388 2182 1989
"gene_5081" 1362 1456 1666 2119 1056 1061 1488 2115
"gene_5082" 83 63 163 103 35 29 131 107
"gene_5083" 1 1 4 8 6 13 6 4
"gene_5084" 2377 2989 2856 2777 2938 2733 2021 2042
"gene_5085" 2016 1234 2373 2579 1676 2385 1553 1928
"gene_5086" 1 4 0 0 4 18 2 23
"gene_5087" 5242 5367 7801 6910 8090 4986 7857 7096
"gene_5088" 166 233 346 303 56 89 100 86
"gene_5089" 1226 1634 1021 1535 774 753 1074 1099
"gene_5090" 1741 2585 2541 1901 1748 2343 1777 1466
"gene_5091" 4163 4024 2576 2529 2910 3353 3179 2846
"gene_5092" 241 310 166 241 223 303 373 206
"gene_5093" 551 533 923 640 419 722 1136 1224
"gene_5094" 1411 1508 1626 1398 1419 1291 1595 1712
"gene_5095" 3361 2926 2678 2932 2657 2971 2662 2749
"gene_5096" 13 15 0 0 35 19 1 6
"gene_5097" 9486 9095 5779 4952 4515 3586 7105 7607
"gene_5098" 987 948 332 464 276 514 1138 645
"gene_5099" 6037 6833 5911 5149 6470 9007 5649 7282
"gene_5100" 3435 3327 3247 3578 3992 2944 3271 3808
"gene_5101" 17 6 0 0 11 14 0 0
"gene_5102" 58 59 99 161 93 149 48 23
"gene_5103" 5976 6850 6778 7134 9743 9163 6417 7320
"gene_5104" 3 2 86 77 78 56 73 96
"gene_5105" 2956 3160 3753 3169 3178 3078 4522 3755
"gene_5106" 249 272 266 279 401 650 840 573
"gene_5107" 2982 2475 2676 2018 2090 2758 2290 1961
"gene_5108" 701 766 964 885 783 1132 358 411
"gene_5109" 63 34 239 172 111 56 101 97
"gene_5110" 215 237 96 125 158 144 30 94
"gene_5111" 64 37 213 124 74 46 88 179
"gene_5112" 13825 14001 8450 9699 8586 9640 10263 9019
"gene_5113" 2049 2358 2131 2231 1789 1928 1936 1077
"gene_5114" 19873 17914 17598 19770 22377 22726 16746 18942
"gene_5115" 37 60 16 20 38 87 90 47
"gene_5116" 815 728 730 605 974 835 1082 933
"gene_5117" 1073 1442 1361 1359 1597 1288 1069 1839
"gene_5118" 2073 2049 1636 2740 2858 2010 3467 3428
"gene_5119" 68 58 42 54 33 41 90 71
"gene_5120" 114 112 348 395 197 123 60 109
"gene_5121" 425 427 423 248 185 108 947 471
"gene_5122" 298 250 79 117 172 159 109 149
"gene_5123" 43 39 89 44 17 24 67 19
"gene_5124" 488 375 94 76 174 209 139 99
"gene_5125" 2176 1871 816 1107 1100 1155 2073 2229
"gene_5126" 1557 1523 1265 1234 1145 872 1910 1313
"gene_5127" 4194 3764 3263 3553 2533 2904 2958 2877
"gene_5128" 406 296 189 184 359 361 352 448
"gene_5129" 0 0 18 3 4 4 29 16
"gene_5130" 1709 1511 2150 1540 2040 2023 1751 1470
"gene_5131" 240 482 214 247 408 255 280 521
"gene_5132" 10935 8684 13736 7320 6612 7132 7852 7039
"gene_5133" 1056 792 747 625 963 759 1999 2225
"gene_5134" 392 361 99 114 253 231 156 122
"gene_5135" 699 852 799 793 856 758 748 830
"gene_5136" 1962 2633 2926 3861 3137 3329 4139 3945
"gene_5137" 641 562 908 836 500 534 828 933
"gene_5138" 345 432 380 258 371 163 462 555
"gene_5139" 3911 4682 2638 2631 1162 2061 2141 3467
"gene_5140" 275 264 210 235 177 219 282 113
"gene_5141" 916 776 634 640 1315 1442 889 1082
"gene_5142" 3 0 15 4 4 0 3 10
"gene_5143" 2052 2463 686 644 1855 1349 1343 895
"gene_5144" 10 20 46 49 8 2 0 0
"gene_5145" 878 540 373 411 559 944 734 850
"gene_5146" 7088 7398 6561 7054 5774 6356 5258 4963
"gene_5147" 1165 1364 1713 1090 2245 2007 2782 1879
"gene_5148" 2682 1930 1329 1816 2481 1949 2013 2820
"gene_5149" 1213 1249 696 1664 1148 1162 1410 1407
"gene_5150" 342 456 440 616 309 416 470 659
"gene_5151" 10436 12799 9860 12134 9869 12718 11235 13371
"gene_5152" 48 57 0 0 29 27 24 55
"gene_5153" 108 88 52 126 64 69 97 105
"gene_5154" 455 390 419 353 337 230 448 493
"gene_5155" 287 325 221 204 174 199 282 303
"gene_5156" 139 334 337 330 640 779 1019 617
"gene_5157" 312 406 1048 743 717 811 451 333
"gene_5158" 613 467 1035 661 799 871 606 549
"gene_5159" 5413 5984 10600 9898 4585 4950 5961 9127
"gene_5160" 4700 5767 7144 6386 9314 5571 6911 7033
"gene_5161" 21 29 88 23 18 18 4 12
"gene_5162" 458 469 290 346 802 689 1018 814
"gene_5163" 4813 4872 4060 3826 4510 5184 4501 5839
"gene_5164" 2376 2402 3108 2978 3032 4014 4586 3963
"gene_5165" 4354 3644 2673 3553 5664 4474 4623 4637
"gene_5166" 2 9 30 48 20 29 11 4
"gene_5167" 2141 2304 4304 4245 2247 2396 2084 2391
"gene_5168" 489 438 869 883 1018 629 550 685
"gene_5169" 1142 1247 1711 1133 1661 1530 1323 1573
"gene_5170" 765 747 862 684 866 601 869 1097
"gene_5171" 2772 2209 2651 2833 2253 1923 2294 2292
"gene_5172" 57 110 159 245 103 129 186 205
"gene_5173" 30 21 41 58 42 47 95 88
"gene_5174" 63 48 42 143 89 77 139 65
"gene_5175" 1126 1081 392 430 530 494 886 598
"gene_5176" 0 0 0 6 8 16 0 0
"gene_5177" 1302 1756 1395 1359 2313 1655 1384 1153
"gene_5178" 7603 8683 11870 10801 9431 8571 7502 7563
"gene_5179" 3054 4081 5386 4012 4843 3673 3580 3555
"gene_5180" 210 166 228 116 128 135 237 101
"gene_5181" 3957 3977 5197 4881 4762 4635 6820 6617
"gene_5182" 6402 5632 5634 6519 5526 5811 5064 5201
"gene_5183" 396 273 258 313 320 400 365 237
"gene_5184" 638 454 648 597 443 628 275 369
"gene_5185" 313 342 556 295 310 302 256 218
"gene_5186" 1319 1508 2830 1579 1842 2007 3202 2255
"gene_5187" 29 64 92 98 149 216 84 60
"gene_5188" 87 118 87 85 24 39 162 124
"gene_5189" 0 0 38 91 1 11 13 22
"gene_5190" 321 271 749 797 727 573 521 436
"gene_5191" 5994 5398 7188 7752 3735 5199 4421 5063
"gene_5192" 0 0 60 69 13 31 29 22
"gene_5193" 931 1055 737 596 343 498 441 694
"gene_5194" 18 58 30 58 47 28 14 36
"gene_5195" 310 354 805 747 574 488 716 729
"gene_5196" 4596 4537 2778 2275 3376 3044 1863 2597
"gene_5197" 1184 1295 1916 1657 1153 1269 798 1091
"gene_5198" 198 203 101 53 227 216 64 109
"gene_5199" 248 265 141 210 196 209 107 220
"gene_5200" 626 809 606 801 412 467 640 705
"gene_5201" 1661 1877 1750 1991 2088 1735 2756 2429
"gene_5202" 251 443 321 312 413 401 402 508
"gene_5203" 0 0 0 0 2 1 23 2
"gene_5204" 234 173 6 27 57 70 83 84
"gene_5205" 790 860 528 775 676 884 863 738
"gene_5206" 5036 4355 4883 3537 8225 6570 4020 6391
"gene_5207" 377 228 295 269 335 187 426 272
"gene_5208" 1208 1181 1201 1368 1173 1288 1393 1320
"gene_5209" 255 341 123 96 187 374 151 169
"gene_5210" 873 1112 741 830 840 1092 219 189
"gene_5211" 623 852 985 574 471 463 1044 1050
"gene_5212" 139 60 97 66 150 56 20 50
"gene_5213" 2233 2009 3429 3150 1673 1592 2011 1753
"gene_5214" 254 433 173 250 282 183 249 237
"gene_5215" 363 267 366 347 244 224 206 249
"gene_5216" 15 60 28 61 39 57 70 54
"gene_5217" 1799 2589 2604 2589 3398 2892 2390 2685
"gene_5218" 1192 1234 829 742 199 257 693 406
"gene_5219" 11 3 2 14 35 24 38 44
"gene_5220" 2 4 3 3 0 0 0 0
"gene_5221" 2597 2347 2675 2364 3293 2804 1993 2297
"gene_5222" 1554 1676 1541 1864 1105 996 1165 1129
"gene_5223" 175 320 77 88 168 170 195 258
"gene_5224" 94 200 161 306 36 86 534 395
"gene_5225" 7373 6533 9879 8341 4890 5254 7399 6579
"gene_5226" 6 1 0 0 4 2 0 0
"gene_5227" 2371 2243 2632 2987 3459 5037 3554 3372
"gene_5228" 3660 3520 2964 2984 3427 3230 4644 4717
"gene_5229" 35 7 21 0 25 3 14 4
"gene_5230" 0 0 0 0 18 118 10 12
"gene_5231" 914 811 1232 1273 969 819 1328 1579
"gene_5232" 12010 11220 10569 7243 8985 7908 13211 14333
"gene_5233" 1740 1711 1914 1766 1739 1372 1448 1275
"gene_5234" 0 0 0 0 0 0 4 6
"gene_5235" 713 711 750 701 1589 1513 1103 978
"gene_5236" 3571 4743 4578 4929 4336 4895 5427 4459
"gene_5237" 1218 1652 710 369 2475 2992 529 594
"gene_5238" 237 225 187 202 130 132 92 112
"gene_5239" 3290 2728 1826 2384 2028 3264 2417 1974
"gene_5240" 180 236 516 479 169 167 480 456
"gene_5241" 473 354 350 341 688 508 772 788
"gene_5242" 1194 1181 1390 1687 1385 1158 1420 1597
"gene_5243" 0 0 2 3 1 5 0 9
"gene_5244" 4401 4120 3176 4252 2891 2542 2166 3284
"gene_5245" 746 701 488 376 604 665 753 763
"gene_5246" 3710 3215 4569 5063 6314 4219 2253 2627
"gene_5247" 1459 1446 2394 2438 2030 2067 1244 1323
"gene_5248" 1 0 0 0 1 0 5 6
"gene_5249" 901 1000 1338 1109 937 1023 1318 1167
"gene_5250" 3815 2859 4031 3422 3151 3223 872 852
"gene_5251" 91 80 70 60 292 168 86 94
"gene_5252" 0 0 1 8 6 0 0 0
"gene_5253" 182 315 132 137 335 231 116 196
"gene_5254" 6206 5745 4918 4902 7138 7737 5771 6063
"gene_5255" 891 956 1325 1586 1182 716 1165 1142
"gene_5256" 3357 4057 2590 2433 2446 2874 3375 2897
"gene_5257" 0 0 18 21 0 0 21 12
"gene_5258" 2987 3753 1938 2004 2507 2451 4046 2724
"gene_5259" 7742 4583 5149 3371 6943 8110 6967 6274
"gene_5260" 2763 2197 2071 1772 2206 2374 2101 2802
"gene_5261" 822 587 543 653 758 843 895 685
"gene_5262" 4460 4546 6529 5168 5321 5244 4549 4203
"gene_5263" 27 81 194 251 279 151 215 140
"gene_5264" 86 184 31 74 177 121 74 85
"gene_5265" 195 86 195 147 197 225 214 182
"gene_5266" 2344 2147 3741 2381 3631 2929 2713 3259
"gene_5267" 1220 1223 1133 981 1951 1884 1380 1242
"gene_5268" 4910 5763 6899 6201 6353 5211 6304 5452
"gene_5269" 888 1299 695 806 732 452 521 376
"gene_5270" 8064 7482 7911 11781 6957 8759 7150 7108
"gene_5271" 41 25 120 102 25 26 6 4
"gene_5272" 1014 945 2475 1537 1492 1027 1864 2487
"gene_5273" 12 23 36 46 18 18 2 2
"gene_5274" 814 841 965 888 1321 743 576 738
"gene_5275" 579 715 1512 1396 831 777 933 660
"gene_5276" 1566 2005 1937 2302 2305 1696 2455 2984
"gene_5277" 11 24 8 6 3 3 8 6
"gene_5278" 1303 1136 1117 822 913 877 1107 821
"gene_5279" 0 0 18 39 8 5 0 2
"gene_5280" 2 4 0 0 0 1 0 0
"gene_5281" 1183 1688 1091 1159 1511 1623 1747 1657
"gene_5282" 1599 1484 1590 1306 2061 2216 1353 1423
"gene_5283" 3893 3125 4592 4763 5168 5747 6625 6227
"gene_5284" 26 23 55 89 41 36 37 52
"gene_5285" 433 729 398 713 647 388 373 367
"gene_5286" 378 523 672 752 348 520 318 379
"gene_5287" 6 16 25 34 8 17 31 9
"gene_5288" 147 157 188 234 186 353 124 94
"gene_5289" 1323 1293 1976 1604 1380 1543 1445 1264
"gene_5290" 522 631 424 367 886 836 1010 1320
"gene_5291" 14 22 0 0 13 23 0 0
"gene_5292" 8217 7837 7697 7554 9349 7841 10322 9834
"gene_5293" 56 46 58 42 78 92 38 30
"gene_5294" 12 12 21 13 0 0 0 0
"gene_5295" 4859 7516 7255 7429 3888 4370 7846 5989
"gene_5296" 1873 1275 1734 1258 1642 2229 1724 1969
"gene_5297" 0 0 0 0 0 0 4 4
"gene_5298" 8616 8350 13784 16333 9296 9629 10089 10375
"gene_5299" 7300 6967 6526 6387 5724 5020 6850 6070
"gene_5300" 676 753 827 772 1200 1339 838 750
"gene_5301" 90 84 112 93 113 195 112 74
"gene_5302" 749 481 782 705 594 521 144 244
"gene_5303" 6047 5776 8388 8673 7776 3893 6933 5189
"gene_5304" 18 11 43 29 19 24 34 56
"gene_5305" 844 847 711 686 970 566 1202 963
"gene_5306" 3048 2977 5128 5026 2617 2116 1548 2097
"gene_5307" 4793 3568 3547 4344 4333 4753 3257 4282
"gene_5308" 809 715 1374 1275 883 819 1029 816
"gene_5309" 3 6 0 0 16 12 0 1
"gene_5310" 452 426 328 378 367 477 606 472
"gene_5311" 114 81 41 60 36 43 112 138
"gene_5312" 486 409 68 48 147 191 235 208
"gene_5313" 46 37 75 66 78 16 11 0
"gene_5314" 437 176 422 283 457 341 542 410
"gene_5315" 859 635 872 841 390 542 594 523
"gene_5316" 506 355 525 337 385 697 557 883
"gene_5317" 319 219 694 609 477 596 245 249
"gene_5318" 1095 939 1008 1108 737 740 617 759
"gene_5319" 44 34 15 33 6 7 14 24
"gene_5320" 5 14 3 10 0 0 5 6
"gene_5321" 567 450 721 772 553 652 748 769
"gene_5322" 534 403 1072 514 431 442 664 673
"gene_5323" 1718 2091 1413 1474 1935 1922 1115 1081
"gene_5324" 14 45 1 10 33 21 12 15
"gene_5325" 5128 5566 6717 7147 5029 4432 3540 3475
"gene_5326" 9260 9976 8309 8609 8083 11744 11947 11220
"gene_5327" 748 671 1146 728 1129 1023 1064 546
"gene_5328" 123 337 275 230 142 130 218 143
"gene_5329" 1675 2363 1597 1784 1680 1759 1520 1383
"gene_5330" 711 544 1094 773 764 869 456 519
"gene_5331" 1095 568 495 1161 1005 1188 681 718
"gene_5332" 3457 2874 1467 1431 2711 2332 1421 1788
"gene_5333" 1236 1640 1181 1325 2420 2276 1462 1426
"gene_5334" 1638 1370 2017 1568 1475 1715 1475 1177
"gene_5335" 794 777 1907 1407 588 594 871 929
"gene_5336" 1132 1372 1347 1266 1554 1797 2636 2986
"gene_5337" 11 25 12 2 10 2 0 0
"gene_5338" 365 233 279 250 268 410 398 353
"gene_5339" 8647 5424 7415 5963 8537 7791 8350 9113
"gene_5340" 176 183 202 308 332 391 267 248
"gene_5341" 187 270 337 259 213 205 163 214
"gene_5342" 0 0 0 0 25 15 13 0
"gene_5343" 137 347 347 477 373 365 390 367
"gene_5344" 5561 5045 4451 4225 3829 3979 3488 4086
"gene_5345" 10 16 6 2 86 88 4 5
"gene_5346" 192 251 384 371 327 298 600 469
"gene_5347" 0 0 0 0 0 0 18 0
"gene_5348" 759 824 648 886 1282 1199 1598 949
"gene_5349" 1864 1775 2699 2638 2641 2549 1600 1822
"gene_5350" 1492 1152 1307 787 758 557 978 1015
"gene_5351" 150 148 524 264 899 618 424 576
"gene_5352" 62 130 33 42 67 181 33 41
"gene_5353" 75 52 5 1 21 14 37 19
"gene_5354" 39 12 192 186 218 202 433 281
"gene_5355" 172 74 44 69 110 97 285 251
"gene_5356" 1654 1141 1891 1608 1200 1427 2129 1720
"gene_5357" 21 17 107 88 64 55 27 19
"gene_5358" 292 211 441 348 642 537 297 262
